識別號,漢字,台羅音標, 常用度 ,摘要說明,建立時間
1,九,kau2, 0.10 ,,2024/10/3 20:44
2,了,liau2, 0.10 ,,2024/10/3 20:44
3,八,pat4, 0.05 ,,2024/10/3 20:44
4,刁,tiau1, 0.01 ,,2024/10/3 20:44
5,刁,thiau1, 0.01 ,,2024/10/3 20:44
6,力,lat8, 0.01 ,,2024/10/3 20:44
7,十,tsap8, 0.01 ,,2024/10/3 20:44
8,三,sann1, 0.01 ,,2024/10/3 20:44
9,三,sam1, 0.01 ,,2024/10/3 20:44
10,三,sam3, 0.05 ,,2024/10/3 20:44
11,下,ha6, 0.05 ,,2024/10/3 20:44
12,千,tshainn1, 0.01 ,,2024/10/3 20:44
13,叉,tsha1, 0.01 ,,2024/10/3 20:44
14,口,khau2, 0.10 ,,2024/10/3 20:44
15,大,tai7, 0.05 ,,2024/10/3 20:44
16,小,siau2, 0.05 ,,2024/10/3 20:44
17,山,san1, 0.01 ,,2024/10/3 20:44
18,工,kang1, 0.10 ,,2024/10/3 20:44
19,干,kan1, 0.01 ,,2024/10/3 20:44
20,才,tsai5, 0.01 ,,2024/10/3 20:44
21,丐,kai3, 0.01 ,,2024/10/3 20:44
22,丹,tan1, 0.01 ,,2024/10/3 20:44
23,仆,phak4, 0.01 ,,2024/10/3 20:44
24,今,tann1, 0.01 ,,2024/10/3 20:44
25,介,kai3, 0.01 ,,2024/10/3 20:44
26,內,lai6, 0.10 ,,2024/10/3 20:44
27,公,kang1, 0.10 ,,2024/10/3 20:44
28,六,lak8, 0.10 ,,2024/10/3 20:44
29,冇,phann3, 0.01 ,,2024/10/3 20:44
30,勾,kau1, 0.01 ,,2024/10/3 20:44
31,卞,pian7, 0.01 ,,2024/10/3 20:44
32,反,painn2, 0.01 ,,2024/10/3 20:44
33,天,thian1, 0.01 ,,2024/10/3 20:44
34,太,thai3, 0.10 ,,2024/10/3 20:44
35,夭,iau2, 0.10 ,,2024/10/3 20:44
36,孔,khang2, 0.01 ,,2024/10/3 20:44
37,少,siau2, 0.01 ,,2024/10/3 20:44
38,少,siau3, 0.01 ,,2024/10/3 20:44
39,巴,pa1, 0.01 ,,2024/10/3 20:44
40,廿,jiap8, 0.01 ,,2024/10/3 20:44
41,弔,tiau3, 0.01 ,,2024/10/3 20:44
42,扎,tsah4, 0.01 ,,2024/10/3 20:44
43,扎,tsat4, 0.01 ,,2024/10/3 20:44
44,斗,tau2, 0.01 ,,2024/10/3 20:44
45,木,bak8, 0.01 ,,2024/10/3 20:44
46,欠,khiam3, 0.10 ,,2024/10/3 20:44
47,歹,phai2, 0.10 ,,2024/10/3 20:44
48,歹,phainn2, 0.10 ,,2024/10/3 20:44
49,歹,tai2, 0.05 ,,2024/10/3 20:44
50,爪,tsau2, 0.01 ,,2024/10/3 20:44
51,爪,jiau2, 0.01 ,,2024/10/3 20:44
52,爻,gau5, 0.01 ,,2024/10/3 20:44
53,爻,ngau5, 0.01 ,,2024/10/3 20:44
54,爿,painn5, 0.01 ,,2024/10/3 20:44
55,片,phian3, 0.01 ,,2024/10/3 20:44
56,牙,ga5, 0.01 ,,2024/10/3 20:44
57,且,tshiann2, 0.01 ,,2024/10/3 20:44
58,丙,piann2, 0.01 ,,2024/10/3 20:44
59,乍,tsa7, 0.01 ,,2024/10/3 20:44
60,乏,hat8, 0.01 ,,2024/10/3 20:44
61,仔,a2, 0.10 ,,2024/10/3 20:44
62,他,thann1, 0.01 ,,2024/10/3 20:44
63,仝,kang7, 0.10 ,,2024/10/3 20:44
64,代,tai7, 0.10 ,,2024/10/3 20:44
65,兄,hiann1, 0.01 ,,2024/10/3 20:44
66,冉,jiam2, 0.01 ,,2024/10/3 20:44
67,冬,tang1, 0.10 ,,2024/10/3 20:44
68,凹,nah4, 0.01 ,,2024/10/3 20:44
69,刊,khan1, 0.01 ,,2024/10/3 20:44
70,功,kang1, 0.01 ,,2024/10/3 20:44
71,加,ka1, 0.10 ,,2024/10/3 20:44
72,包,pau1, 0.01 ,,2024/10/3 20:44
73,北,pak4, 0.10 ,,2024/10/3 20:44
74,卌,siap4, 0.10 ,,2024/10/3 20:44
75,占,tsiam1, 0.01 ,,2024/10/3 20:44
76,卡,khah4, 0.01 ,,2024/10/3 20:44
77,卡,khah8, 0.01 ,,2024/10/3 20:44
78,卯,bau2, 0.01 ,,2024/10/3 20:44
79,叫,kiau3, 0.01 ,,2024/10/3 20:44
80,召,tiau3, 0.01 ,,2024/10/3 20:44
81,台,thai1, 0.01 ,,2024/10/3 20:44
82,史,sai2, 0.05 ,,2024/10/3 20:44
