識別號,漢字,聲母,韻母,聲調,常用度,台語音標聲母,台語音標韻母,台語音標拼音,方音符號聲母,方音符號韻母,方音符號注音,聲母識別碼,韻母識別碼,聲調識別碼
1,縮,柳,君,上平,,l,un,lun1,ㄌ,ㄨㄣ,ㄌㄨㄣ1,1,1,1
2,𪑖,邊,君,上平,0.01 ,p,un,pun1,ㄅ,ㄨㄣ,ㄅㄨㄣ1,2,1,1
3,𪒰,邊,君,上平,,p,un,pun1,ㄅ,ㄨㄣ,ㄅㄨㄣ1,2,1,1
4,君,求,君,上平,,k,un,kun1,ㄍ,ㄨㄣ,ㄍㄨㄣ1,3,1,1
5,褌,求,君,上平,0.01 ,k,un,kun1,ㄍ,ㄨㄣ,ㄍㄨㄣ1,3,1,1
6,裩,求,君,上平,,k,un,kun1,ㄍ,ㄨㄣ,ㄍㄨㄣ1,3,1,1
7,軍,求,君,上平,,k,un,kun1,ㄍ,ㄨㄣ,ㄍㄨㄣ1,3,1,1
8,坤,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
9,昆,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
10,崑,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
11,蜫,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
12,鯤,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
13,髡,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
14,鵾,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
15,囷,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
16,菌,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
17,麕,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
18,峮,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
19,琨,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
20,焜,去,君,上平,,kh,un,khun1,ㄎ,ㄨㄣ,ㄎㄨㄣ1,4,1,1
21,敦,地,君,上平,,t,un,tun1,ㄉ,ㄨㄣ,ㄉㄨㄣ1,5,1,1
22,墩,地,君,上平,,t,un,tun1,ㄉ,ㄨㄣ,ㄉㄨㄣ1,5,1,1
23,憞,地,君,上平,,t,un,tun1,ㄉ,ㄨㄣ,ㄉㄨㄣ1,5,1,1
