識別號,韻母編碼,十五音字母,韻母序,舒促,國際音標,台語音標,方音符號,白話字,台羅拚音,閩拼
1,君舒,君,1,舒,un,un,ㄨㄣ,un,un,un
2,君促,君,1,促,ut̚,ut,ㄨㆵ,ut,ut,ut
3,堅舒,堅,2,舒,ian,ian,ㄧㄢ,ian,ian,ian
4,堅促,堅,2,促,iat̚,iat,ㄧㄚㆵ,iat,iat,iat
5,金舒,金,3,舒,im,im,ㄧㆬ,im,im,im
6,金促,金,3,促,ip̚,ip,一ㆴ,ip,ip,ip
7,規舒,規,4,舒,ui,ui,ㄨㄧ,ui,ui,ui
8,規促,規,4,促,,,,,,
9,嘉舒,嘉,5,舒,ɛ,ee,ㄝ,e,ee,e
10,嘉促,嘉,5,促,ɛ?,eeh,ㄝㆷ,eeh,eeh,
11,干舒,干,6,舒,an,an,ㄢ,an,an,an
12,干促,干,6,促,at̚,at,ㄚㆵ,at,at,at
13,公舒,公,7,舒,ɔŋ,ong,ㆲ,ong,ong,ong
14,公促,公,7,促,ɔk̚,ok,ㆦㆻ,ok,ok,ok
15,乖舒,乖,8,舒,uai,uai,ㄨㄞ,oai,uai,uai
16,乖促,乖,8,促,uai?,uaih,ㄨㄞㆷ,oaih,uaih,uaih
17,經舒,經,9,舒,iŋ,ing,ㄧㄥ,eng,ing,ing
18,經促,經,9,促,ik̚,ik,ㄧㆻ,ek,ik,ik
19,觀舒,觀,10,舒,uan,uan,ㄨㄢ,oan,uan,uan
20,觀促,觀,10,促,uat̚,uat,ㄨㄚㆵ,oat,uat,uat
21,沽舒,沽,11,舒,ɔu,oo,ㆦ,o͘,oo,oo
22,沽促,沽,11,促,,,,,,
23,嬌舒,嬌,12,舒,iau,iau,ㄧㄠ,iau,iau,iao
24,嬌促,嬌,12,促,iau?,iauh,ㄧㄠㆷ,iauh,iauh,iaoh
25,稽舒,稽,13,舒,ei,ei,ㆤ,e,e,e
26,稽促,稽,13,促,,,,,,
27,恭舒,恭,14,舒,iɔŋ,iong,ㄧㆲ,iong,iong,iong
28,恭促,恭,14,促,iɔk̚,iok,ㄧㆦㆻ,iok,iok,iok
29,高舒,高,15,舒,ə,o,ㄜ,o,o,o
30,高促,高,15,促,ə?,oh,ㄜㆷ,oh,oh,oh
31,皆舒,皆,16,舒,ai,ai,ㄞ,ai,ai,ai
32,皆促,皆,16,促,,,,,,
33,巾舒,巾,17,舒,in,in,ㄧㄣ,in,in,in
34,巾促,巾,17,促,it̚,it,ㄧㆵ,it,it,it
35,姜舒,姜,18,舒,iaŋ,iang,ㄧㄤ,iang,iang,iang
36,姜促,姜,18,促,iak̚,iak,ㄧㄚㆻ,iak,iak,iak
37,甘舒,甘,19,舒,am,am,ㆰ,am,am,am
38,甘促,甘,19,促,ap̚,ap,ㄚㆴ,ap,ap,ap
39,瓜舒,瓜,20,舒,ua,ua,ㄨㄚ,oa,ua,ua
40,瓜促,瓜,20,促,ua?,uah,ㄨㄚㆷ,oah,uah,uah
41,江舒,江,21,舒,aŋ,ang,ㄤ,ang,ang,ang
42,江促,江,21,促,ak̚,ak,ㄚㆻ,ak,ak,ak
43,兼舒,兼,22,舒,iam,iam,ㄧㆰ,iam,iam,iam
44,兼促,兼,22,促,iap̚,iap,ㄧㄚㆴ,iap,iap,iap
45,交舒,交,23,舒,au,au,ㄠ,au,au,ao
46,交促,交,23,促,au?,auh,ㄠㆷ,auh,auh,aoh
47,迦舒,迦,24,舒,ia,ia,ㄧㄚ,ia,ia,ia
48,迦促,迦,24,促,ia?,iah,ㄧㄚㆷ,iah,iah,iah
49,檜舒,檜,25,舒,ue,ue,ㄨㆤ,oe,ue,ue
50,檜促,檜,25,促,ue?,ueh,ㄨㆤㆷ,oeh,ueh,ueh
51,監舒,監,26,舒,ã,ann,ㆩ,aⁿ,ann,na
52,監促,監,26,促,ã?,ahnn,ㆩㆷ,aⁿh,annh,nah
53,艍舒,艍,27,舒,u,u,ㄨ,u,u,u
54,艍促,艍,27,促,u?,uh,ㄨㆷ,uh,uh,uh
55,膠舒,膠,28,舒,a,a,ㄚ,a,a,a
56,膠促,膠,28,促,a?,ah,ㄚㆷ,ah,ah,ah
57,居舒,居,29,舒,i,i,ㄧ,i,i,i
58,居促,居,29,促,i?,ih,ㄧㆷ,ih,ih,ih
59,丩舒,丩,30,舒,iu,iu,ㄧㄨ,iu,iu,iu
60,丩促,丩,30,促,,,,,,
61,更舒,更,31,舒,ẽ,enn,ㆥ,eⁿ,enn,ne
62,更促,更,31,促,ẽ?,ehnn,ㆥㆷ,eⁿh,ennh,neh
63,褌舒,褌,32,舒,uĩ,uinn,ㄨㆪ,uiⁿ,uinn,nui
64,褌促,褌,32,促,,,,,,
65,茄舒,茄,33,舒,iə,io,ㄧㄜ,io,io,io
66,茄促,茄,33,促,iə?,ioh,ㄧㄜㆷ,ioh,ioh,ioh
67,梔舒,梔,34,舒,ĩ,inn,ㆪ,iⁿ,inn,ni
68,梔促,梔,34,促,ĩ?,ihnn,ㆪㆷ,iⁿh,innh,nih
69,薑舒,薑,35,舒,ĩɔ̃,ionn,ㄧㆧ,ioⁿ,ionn,nioo
70,薑促,薑,35,促,,,,,,
71,驚舒,驚,36,舒,iã,iann,ㄧㆩ,iaⁿ,iannh,nia
72,驚促,驚,36,促,,,,,,
73,官舒,官,37,舒,ũã,uann,ㄨㆩ,oaⁿ,uann,nua
74,官促,官,37,促,,,,,,
75,鋼舒,鋼,38,舒,ŋ̍,ng,ㆭ,ng,ng,ng
76,鋼促,鋼,38,促,,,,,,
77,伽舒,伽,39,舒,e,e,ㆤ,e,e,e
78,伽促,伽,39,促,e?,eh,ㆤㆷ,eh,eh,eh
79,閒舒,閒,40,舒,ãĩ,ainn,ㆮ,aiⁿ,ainn,nai
80,閒促,閒,40,促,,,,,,
81,姑舒,姑,41,舒,ɔ̃ũ,oonn,ㆧ,oⁿ,onn,noo
82,姑促,姑,41,促,,,,,,
83,姆舒,姆,42,舒,m̩,m,ㆬ,m,m,m
84,姆促,姆,42,促,,,,,,
85,光舒,光,43,舒,uaŋ,uang,ㄨㄤ,oang,uang,uang
86,光促,光,43,促,uak̚,uak,ㄨㄚㆻ,oak,uak,uak
87,閂舒,閂,44,舒,uãĩ,uainn,ㄨㆮ,oaiⁿ,uainn,nuai
88,閂促,閂,44,促,uãĩ?,uaihnn,ㄨㆮㆷ,oaiⁿh,uainnh,nuaih
89,糜舒,糜,45,舒,uẽ,uenn,ㄨㆥ,oeⁿ,uenn,nue
90,糜促,糜,45,促,,,,,,
