識別號,漢字,漢字標音,常用度,切音,字韻,聲調,舒促聲,聲,韻,調,雅俗通標音,十五音標音,聲母號,韻母號,
1,縮,lun1,0.45 ,柳,君,上平,舒聲,l,un,1,君上平聲柳,君一柳,1,1,
2,𪑖,pun1,0.45 ,邊,君,上平,舒聲,p,un,1,君上平聲邊,君一邊,2,1,
3,𪒰,pun1,0.45 ,邊,君,上平,舒聲,p,un,1,君上平聲邊,君一邊,2,1,
4,君,kun1,0.45 ,求,君,上平,舒聲,k,un,1,君上平聲求,君一求,3,1,
5,褌,kun1,0.45 ,求,君,上平,舒聲,k,un,1,君上平聲求,君一求,3,1,
6,裩,kun1,0.45 ,求,君,上平,舒聲,k,un,1,君上平聲求,君一求,3,1,
7,軍,kun1,0.45 ,求,君,上平,舒聲,k,un,1,君上平聲求,君一求,3,1,
8,坤,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
9,昆,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
10,崑,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
11,蜫,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
12,鯤,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
13,髡,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
14,鵾,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
15,囷,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
16,菌,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
17,麕,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
18,峮,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
19,琨,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
20,焜,khun1,0.45 ,去,君,上平,舒聲,kh,un,1,君上平聲去,君一去,4,1,
21,敦,tun1,0.45 ,地,君,上平,舒聲,t,un,1,君上平聲地,君一地,5,1,
22,墩,tun1,0.45 ,地,君,上平,舒聲,t,un,1,君上平聲地,君一地,5,1,
23,憞,tun1,0.45 ,地,君,上平,舒聲,t,un,1,君上平聲地,君一地,5,1,
