識別號,聲母對照識別號,七聲類,發音部位,聲母,清濁,發送收,切語上字集,備註
1,3,牙音,牙音,見,全清,發聲,古公過各規姑格詭吉紀几居九俱舉兼佳乖矩工,
2,4,牙音,牙音,溪,次清,送氣,康枯空口楷客恪苦窺牽謙去丘祛羌欽墟傾起綺豈區驅詰曲咎可乞袪弃卿,
3,3,牙音,牙音,群,全濁, ,渠強求奇衢其暨具巨臼跪近狂,
4,13,牙音,牙音,疑,次濁,收聲,疑魚語宜玉遇虞愚牛擬研危五俄吾,
5,5,舌音,舌頭音,端,全清,發聲,多德得丁都當冬底,
6,7,舌音,舌頭音,透,次清,送氣,他託土通天台湯吐,
7,5,舌音,舌頭音,定,全濁, ,徒同特唐堂田陀地度杜大,
8,17,舌音,舌頭音,泥,次濁,收聲,奴乃諾內那嬭妳,
9,5,舌音,舌上音,知,全清,發聲,知張豬徵中追陟卓竹珍迍,
10,7,舌音,舌上音,徹,次清,送氣,抽癡褚楮丑恥敕,
11,5,舌音,舌上音,澄,全濁, ,除場池治持持遲佇柱丈直宅馳墜,
12,1,舌音,舌上音,孃,次濁,收聲,尼拏女穠,娘
13,2,脣音,重脣音,幫,全清,發聲,邊布補伯百北博巴卑并鄙必彼兵筆陂畀晡風,
14,6,脣音,重脣音,滂,次清,送氣,滂普匹譬披丕被,
15,2,脣音,重脣音,並,全濁, ,蒲裴平皮步薄白部傍便弼婢毗簿捕,
16,16,脣音,重脣音,明,次濁,收聲,莫慕模謨摸母明彌眉綿靡美,
17,15,脣音,輕脣音,非,全清,發聲,方封分府甫,
18,15,脣音,輕脣音,敷,次清,送氣,敷孚妃撫峰拂芳峯,
19,15,脣音,輕脣音,奉,全濁, ,防縛附父浮苻扶馮房符,
20,12,脣音,輕脣音,微,次濁,收聲,巫無武文望亡,
21,8,齒音,齒頭音,精,全清,發聲,子資則兹醉遵祖臧作將即借姊茲,
22,14,齒音,齒頭音,清,次清,送氣,蒼倉雌醋麤此采親遷千青七取麁且,
23,8,齒音,齒頭音,從,全濁, ,才徂慈藏在前秦情酢自昨漸匠疾鶵,崇
24,10,齒音,齒頭音,心,全清,發聲,蘇桑思司斯雖素速相辛須胥先悉息寫私,
25,10,齒音,齒頭音,邪,全濁,,辭隨寺似徐祥詳旬夕辤辝,
26,8,齒音,正齒近齒頭,莊,全清,發聲,莊爭阻鄒簪側仄壯,
27,14,齒音,正齒近齒頭,初,次清,送氣,叉廁初創瘡芻測楚,
28,8,齒音,正齒近齒頭,牀,全濁, ,牀查崇雛鋤鉏豺助俟士仕崱,
29,10,齒音,正齒近齒頭,疏,全清,送氣,疏山沙砂生色數所史踈䟽,
30,8,齒音,正齒近舌上,照,全清,發聲,之辛征諸支脂止旨職煮正占章遮主,章
31,14,齒音,正齒近舌上,穿,次清,送氣,昌春充叱赤尺處姝,
32,10,齒音,正齒近舌上,神,全濁,送氣,乘神食實,
33,10,齒音,正齒近舌上,審,全清,送氣,書舒傷商施失詩始釋賞識矢式試,
34,10,齒音,正齒近舌上,禪,全濁,送氣,時殊嘗常成臣蜀市植殖寔署是氏視承,
35,11,喉音,喉音,影,全清,發聲,烏哀安紆愛握於央一伊依衣憂煙鷖憶乙謁挹委毆烟,
36,15,喉音,喉音,曉,次清,送氣,呼荒呵虛馨香羲休興虎火海況朽喜許花兄,
37,15,喉音,喉音,匣,全濁,送氣,胡乎侯何黃戶下獲懷諧,
38,11,喉音,喉音,為,次濁,發聲,于雲云筠為榮本王雨羽永有洧𨘏遠,
39,11,喉音,喉音,喻,次濁,發聲,余餘予移夷羊營以弋翼與悅薳韋,云
40,1,半舌音,半舌,來,次濁,收聲,來盧郎賴洛落勒力呂良林離里練魯紬連縷,
41,9,半齒音,半齒,日,次濁,收聲,如儒人仍汝兒而耳,
