識別號,韻目列號,韻目方陣識別號,韻目,目次序號,目次,攝,四聲韻目,四聲調號,舒促聲,調,廣韻聲調
1,1,1,東,1,上平01東,通,東董送屋,1,舒,平,上平
2,2,2,冬,2,上平02冬,通,冬∅宋沃,1,舒,平,上平
3,3,3,鍾,3,上平03鍾,通,鍾腫用燭,1,舒,平,上平
4,4,4,江,4,上平04江,江,江講絳覺,1,舒,平,上平
5,5,5,支,5,上平05支,止,支紙寘∅,1,舒,平,上平
6,6,6,脂,6,上平06脂,止,脂旨至∅,1,舒,平,上平
7,7,7,之,7,上平07之,止,之止志∅,1,舒,平,上平
8,8,8,微,8,上平08微,止,微尾未∅,1,舒,平,上平
9,9,9,魚,9,上平09魚,遇,魚語御∅,1,舒,平,上平
10,10,10,虞,10,上平10虞,遇,虞麌遇∅,1,舒,平,上平
11,11,11,模,11,上平11模,遇,模姥暮∅,1,舒,平,上平
12,12,12,齊,12,上平12齊,蟹,齊薺霽∅,1,舒,平,上平
13,15,15,佳,13,上平13佳,蟹,佳蟹卦∅,1,舒,平,上平
14,16,16,皆,14,上平14皆,蟹,皆駭怪∅,1,舒,平,上平
15,18,18,灰,15,上平15灰,蟹,灰賄隊∅,1,舒,平,上平
16,19,19,咍,16,上平16咍,蟹,咍海代∅,1,舒,平,上平
17,21,21,真,17,上平17真,臻,真軫震質,1,舒,平,上平
18,22,22,諄,18,上平18諄,臻,諄準稕術,1,舒,平,上平
19,23,23,臻,19,上平19臻,臻,臻∅齔櫛,1,舒,平,上平
20,24,24,文,20,上平20文,臻,文吻問物,1,舒,平,上平
21,25,25,殷,21,上平21殷,臻,殷隱焮迄,1,舒,平,上平
22,26,26,元,22,上平22元,臻,元阮願月,1,舒,平,上平
23,27,27,魂,23,上平23魂,臻,魂混慁沒,1,舒,平,上平
24,28,28,痕,24,上平24痕,臻,痕很恨麧,1,舒,平,上平
25,29,29,寒,25,上平25寒,山,寒旱翰曷,1,舒,平,上平
26,30,30,桓,26,上平26桓,山,桓緩換末,1,舒,平,上平
27,31,31,刪,27,上平27刪,山,刪潸諫黠,1,舒,平,上平
28,32,32,山,28,上平28山,山,山產襇鎋,1,舒,平,上平
29,33,33,先,1,上平01先,山,先銑霰屑,1,舒,平,上平
30,34,34,仙,2,上平02仙,山,仙獮線薛,1,舒,平,上平
31,35,35,蕭,3,上平03蕭,效,蕭篠嘯∅,1,舒,平,上平
32,36,36,宵,4,上平04宵,效,宵小笑∅,1,舒,平,上平
33,37,37,肴,5,上平05肴,效,肴巧效∅,1,舒,平,上平
34,38,38,豪,6,上平06豪,效,豪晧号∅,1,舒,平,上平
35,39,39,歌,7,上平07歌,果,歌哿箇∅,1,舒,平,上平
36,40,40,戈,8,上平08戈,果,戈果過∅,1,舒,平,上平
37,41,41,麻,9,上平09麻,假,麻馬禡∅,1,舒,平,上平
38,42,42,陽,10,上平10陽,宕,陽養漾藥,1,舒,平,上平
39,43,43,唐,11,上平11唐,宕,唐蕩宕鐸,1,舒,平,上平
40,44,44,庚,12,上平12庚,梗,庚梗敬陌,1,舒,平,上平
41,45,45,耕,13,上平13耕,梗,耕耿諍麥,1,舒,平,上平
42,46,46,清,14,上平14清,梗,清靜勁昔,1,舒,平,上平
43,47,47,青,15,上平15青,梗,青迥徑錫,1,舒,平,上平
44,48,48,蒸,16,上平16蒸,曾,蒸拯證職,1,舒,平,上平
45,49,49,登,17,上平17登,曾,登等嶝德,1,舒,平,上平
46,50,50,尤,18,上平18尤,流,尤有宥∅,1,舒,平,上平
47,51,51,侯,19,上平19侯,流,侯厚猴∅,1,舒,平,上平
48,52,52,幽,20,上平20幽,流,幽黝幼∅,1,舒,平,上平
49,53,53,侵,21,上平21侵,深,侵寢沁緝,1,舒,平,上平
50,54,54,覃,22,上平22覃,咸,覃感勘合,1,舒,平,上平
51,55,55,談,23,上平23談,咸,談敢闞盍,1,舒,平,上平
52,56,56,鹽,24,上平24鹽,咸,鹽琰豔葉,1,舒,平,上平
53,57,57,添,25,上平25添,咸,添忝㮇怗,1,舒,平,上平
54,58,58,咸,26,上平26咸,咸,咸豏陷洽,1,舒,平,上平
55,59,59,銜,27,上平27銜,咸,銜檻鑑狎,1,舒,平,上平
56,60,60,嚴,28,上平28嚴,咸,嚴儼釅業,1,舒,平,上平
57,61,61,凡,29,上平29凡,咸,凡范梵乏,1,舒,平,上平
58,1,62,董,1,上01董,通,東董送屋,2,舒,上,上
59,3,64,腫,2,上02腫,通,鍾腫用燭,2,舒,上,上
60,4,65,講,3,上03講,江,江講絳覺,2,舒,上,上
61,5,66,紙,4,上04紙,止,支紙寘∅,2,舒,上,上
62,6,67,旨,5,上05旨,止,脂旨至∅,2,舒,上,上
63,7,68,止,6,上06止,止,之止志∅,2,舒,上,上
64,8,69,尾,7,上07尾,止,微尾未∅,2,舒,上,上
65,9,70,語,8,上08語,遇,魚語御∅,2,舒,上,上
66,10,71,麌,9,上09麌,遇,虞麌遇∅,2,舒,上,上
67,11,72,姥,10,上10姥,遇,模姥暮∅,2,舒,上,上
68,12,73,薺,11,上11薺,蟹,齊薺霽∅,2,舒,上,上
69,15,76,蟹,12,上12蟹,蟹,佳蟹卦∅,2,舒,上,上
70,16,77,駭,13,上13駭,蟹,皆駭怪∅,2,舒,上,上
71,18,79,賄,14,上14賄,蟹,灰賄隊∅,2,舒,上,上
72,19,80,海,15,上15海,蟹,咍海代∅,2,舒,上,上
73,21,82,軫,16,上16軫,臻,真軫震質,2,舒,上,上
74,22,83,準,17,上17準,臻,諄準稕術,2,舒,上,上
75,24,85,吻,18,上18吻,臻,文吻問物,2,舒,上,上
76,25,86,隱,19,上19隱,臻,殷隱焮迄,2,舒,上,上
77,26,87,阮,20,上20阮,臻,元阮願月,2,舒,上,上
78,27,88,混,21,上21混,臻,魂混慁沒,2,舒,上,上
79,28,89,很,22,上22很,臻,痕很恨麧,2,舒,上,上
80,29,90,旱,23,上23旱,山,寒旱翰曷,2,舒,上,上
81,30,91,緩,24,上24緩,山,桓緩換末,2,舒,上,上
82,31,92,潸,25,上25潸,山,刪潸諫黠,2,舒,上,上
83,32,93,產,26,上26產,山,山產襇鎋,2,舒,上,上
84,33,94,銑,27,上27銑,山,先銑霰屑,2,舒,上,上
85,34,95,獮,28,上28獮,山,仙獮線薛,2,舒,上,上
86,35,96,篠,29,上29篠,效,蕭篠嘯∅,2,舒,上,上
87,36,97,小,30,上30小,效,宵小笑∅,2,舒,上,上
88,37,98,巧,31,上31巧,效,肴巧效∅,2,舒,上,上
89,38,99,晧,32,上32晧,效,豪晧号∅,2,舒,上,上
90,39,100,哿,33,上33哿,果,歌哿箇∅,2,舒,上,上
91,40,101,果,34,上34果,果,戈果過∅,2,舒,上,上
92,41,102,馬,35,上35馬,假,麻馬禡∅,2,舒,上,上
93,42,103,養,36,上36養,宕,陽養漾藥,2,舒,上,上
94,43,104,蕩,37,上37蕩,宕,唐蕩宕鐸,2,舒,上,上
95,44,105,梗,38,上38梗,梗,庚梗敬陌,2,舒,上,上
96,45,106,耿,39,上39耿,梗,耕耿諍麥,2,舒,上,上
97,46,107,靜,40,上40靜,梗,清靜勁昔,2,舒,上,上
98,47,108,迥,41,上41迥,梗,青迥徑錫,2,舒,上,上
99,48,109,拯,42,上42拯,曾,蒸拯證職,2,舒,上,上
100,49,110,等,43,上43等,曾,登等嶝德,2,舒,上,上
101,50,111,有,44,上44有,流,尤有宥∅,2,舒,上,上
102,51,112,厚,45,上45厚,流,侯厚猴∅,2,舒,上,上
103,52,113,黝,46,上46黝,流,幽黝幼∅,2,舒,上,上
104,53,114,寢,47,上47寢,深,侵寢沁緝,2,舒,上,上
105,54,115,感,48,上48感,咸,覃感勘合,2,舒,上,上
106,55,116,敢,49,上49敢,咸,談敢闞盍,2,舒,上,上
107,56,117,琰,50,上50琰,咸,鹽琰豔葉,2,舒,上,上
108,57,118,忝,51,上51忝,咸,添忝㮇怗,2,舒,上,上
109,58,119,豏,52,上52豏,咸,咸豏陷洽,2,舒,上,上
110,59,120,檻,53,上53檻,咸,銜檻鑑狎,2,舒,上,上
111,60,121,儼,54,上54儼,咸,嚴儼釅業,2,舒,上,上
112,61,122,范,55,上55范,咸,凡范梵乏,2,舒,上,上
113,1,123,送,1,去01送,通,東董送屋,3,舒,去,去
114,2,124,宋,2,去02宋,通,冬∅宋沃,3,舒,去,去
115,3,125,用,3,去03用,通,鍾腫用燭,3,舒,去,去
116,4,126,絳,4,去04絳,江,江講絳覺,3,舒,去,去
117,5,127,寘,5,去05寘,止,支紙寘∅,3,舒,去,去
118,6,128,至,6,去06至,止,脂旨至∅,3,舒,去,去
119,7,129,志,7,去07志,止,之止志∅,3,舒,去,去
120,8,130,未,8,去08未,止,微尾未∅,3,舒,去,去
121,9,131,御,9,去09御,遇,魚語御∅,3,舒,去,去
122,10,132,遇,10,去10遇,遇,虞麌遇∅,3,舒,去,去
123,11,133,暮,11,去11暮,遇,模姥暮∅,3,舒,去,去
124,12,134,霽,12,去12霽,蟹,齊薺霽∅,3,舒,去,去
125,13,135,祭,13,去13祭,蟹,∅∅祭∅,3,舒,去,去
126,14,136,泰,14,去14泰,蟹,∅∅泰∅,3,舒,去,去
127,15,137,卦,15,去15卦,蟹,佳蟹卦∅,3,舒,去,去
128,16,138,怪,16,去16怪,蟹,皆駭怪∅,3,舒,去,去
129,17,139,夬,17,去17夬,蟹,∅∅夬∅,3,舒,去,去
130,18,140,隊,18,去18隊,蟹,灰賄隊∅,3,舒,去,去
131,19,141,代,19,去19代,蟹,咍海代∅,3,舒,去,去
132,20,142,廢,20,去20廢,蟹,∅∅廢∅,3,舒,去,去
133,21,143,震,21,去21震,臻,真軫震質,3,舒,去,去
134,22,144,稕,22,去22稕,臻,諄準稕術,3,舒,去,去
135,23,145,齔,23,去23齔,臻,臻∅齔櫛,3,舒,去,去
136,24,146,問,24,去24問,臻,文吻問物,3,舒,去,去
137,25,147,焮,25,去25焮,臻,殷隱焮迄,3,舒,去,去
138,26,148,願,26,去26願,臻,元阮願月,3,舒,去,去
139,27,149,慁,27,去27慁,臻,魂混慁沒,3,舒,去,去
140,28,150,恨,28,去28恨,臻,痕很恨麧,3,舒,去,去
141,29,151,翰,29,去29翰,山,寒旱翰曷,3,舒,去,去
142,30,152,換,30,去30換,山,桓緩換末,3,舒,去,去
143,31,153,諫,31,去31諫,山,刪潸諫黠,3,舒,去,去
144,32,154,襇,32,去32襇,山,山產襇鎋,3,舒,去,去
145,33,155,霰,33,去33霰,山,先銑霰屑,3,舒,去,去
146,34,156,線,34,去34線,山,仙獮線薛,3,舒,去,去
147,35,157,嘯,35,去35嘯,效,蕭篠嘯∅,3,舒,去,去
148,36,158,笑,36,去36笑,效,宵小笑∅,3,舒,去,去
149,37,159,效,37,去37效,效,肴巧效∅,3,舒,去,去
150,38,160,号,38,去38号,效,豪晧号∅,3,舒,去,去
151,39,161,箇,39,去39箇,果,歌哿箇∅,3,舒,去,去
152,40,162,過,40,去40過,果,戈果過∅,3,舒,去,去
153,41,163,禡,41,去41禡,假,麻馬禡∅,3,舒,去,去
154,42,164,漾,42,去42漾,宕,陽養漾藥,3,舒,去,去
155,43,165,宕,43,去43宕,宕,唐蕩宕鐸,3,舒,去,去
156,44,166,敬,44,去44敬,梗,庚梗敬陌,3,舒,去,去
157,45,167,諍,45,去45諍,梗,耕耿諍麥,3,舒,去,去
158,46,168,勁,46,去46勁,梗,清靜勁昔,3,舒,去,去
159,47,169,徑,47,去47徑,梗,青迥徑錫,3,舒,去,去
160,48,170,證,48,去48證,曾,蒸拯證職,3,舒,去,去
161,49,171,嶝,49,去49嶝,曾,登等嶝德,3,舒,去,去
162,50,172,宥,50,去50宥,流,尤有宥∅,3,舒,去,去
163,51,173,猴,51,去51猴,流,侯厚猴∅,3,舒,去,去
164,52,174,幼,52,去52幼,流,幽黝幼∅,3,舒,去,去
165,53,175,沁,53,去53沁,深,侵寢沁緝,3,舒,去,去
166,54,176,勘,54,去54勘,咸,覃感勘合,3,舒,去,去
167,55,177,闞,55,去55闞,咸,談敢闞盍,3,舒,去,去
168,56,178,豔,56,去56豔,咸,鹽琰豔葉,3,舒,去,去
169,57,179,㮇,57,去57㮇,咸,添忝㮇怗,3,舒,去,去
170,58,180,陷,58,去58陷,咸,咸豏陷洽,3,舒,去,去
171,59,181,鑑,59,去59鑑,咸,銜檻鑑狎,3,舒,去,去
172,60,182,釅,60,去60釅,咸,嚴儼釅業,3,舒,去,去
173,61,183,梵,61,去61梵,咸,凡范梵乏,3,舒,去,去
174,1,184,屋,1,入01屋,通,東董送屋,4,舒,入,入
175,2,185,沃,2,入02沃,通,冬∅宋沃,4,舒,入,入
176,3,186,燭,3,入03燭,通,鍾腫用燭,4,舒,入,入
177,4,187,覺,4,入04覺,江,江講絳覺,4,舒,入,入
178,21,204,質,5,入05質,臻,真軫震質,4,舒,入,入
179,22,205,術,6,入06術,臻,諄準稕術,4,舒,入,入
180,23,206,櫛,7,入07櫛,臻,臻∅齔櫛,4,舒,入,入
181,24,207,物,8,入08物,臻,文吻問物,4,舒,入,入
182,25,208,迄,9,入09迄,臻,殷隱焮迄,4,舒,入,入
183,26,209,月,10,入10月,臻,元阮願月,4,舒,入,入
184,27,210,沒,11,入11沒,臻,魂混慁沒,4,舒,入,入
185,28,211,麧,12,入12麧,臻,痕很恨麧,4,舒,入,入
186,29,212,曷,13,入13曷,山,寒旱翰曷,4,舒,入,入
187,30,213,末,14,入14末,山,桓緩換末,4,舒,入,入
188,31,214,黠,15,入15黠,山,刪潸諫黠,4,舒,入,入
189,32,215,鎋,16,入16鎋,山,山產襇鎋,4,舒,入,入
190,33,216,屑,17,入17屑,山,先銑霰屑,4,舒,入,入
191,34,217,薛,18,入18薛,山,仙獮線薛,4,舒,入,入
192,42,225,藥,19,入19藥,宕,陽養漾藥,4,舒,入,入
193,43,226,鐸,20,入20鐸,宕,唐蕩宕鐸,4,舒,入,入
194,44,227,陌,21,入21陌,梗,庚梗敬陌,4,舒,入,入
195,45,228,麥,22,入22麥,梗,耕耿諍麥,4,舒,入,入
