小韻號,上字,下字,字,韻,調,呼,等,重紐
1,德,紅,端,東,平,開,1,
2,徒,紅,定,東,平,開,1,
3,陟,弓,知,東,平,開,3,
4,直,弓,澄,東,平,開,3,
5,職,戎,章,東,平,開,3,
6,敕,中,徹,東,平,開,3,
7,鋤,弓,崇,東,平,開,3,
8,息,弓,心,東,平,開,3,
9,如,融,日,東,平,開,3,
10,居,戎,見,東,平,開,3,
11,以,戎,以,東,平,開,3,
12,羽,弓,云,東,平,開,3,
13,莫,中,明,東,平,,3,
14,去,宮,溪,東,平,開,3,
15,渠,弓,羣,東,平,開,3,
16,房,戎,並,東,平,,3,
17,方,戎,幫,東,平,,3,
18,敷,空,滂,東,平,,3,
19,昌,終,昌,東,平,開,3,
20,力,中,來,東,平,開,3,
21,苦,紅,溪,東,平,開,1,
22,古,紅,見,東,平,開,1,
23,莫,紅,明,東,平,,1,
24,盧,紅,來,東,平,開,1,
25,戶,公,匣,東,平,開,1,
26,徂,紅,從,東,平,開,1,
27,烏,紅,影,東,平,開,1,
28,倉,紅,清,東,平,開,1,
29,他,紅,透,東,平,開,1,
30,子,紅,精,東,平,開,1,
31,薄,紅,並,東,平,,1,
32,呼,東,曉,東,平,開,1,
33,五,東,疑,東,平,開,1,
34,蘇,公,心,東,平,開,1,
35,都,宗,端,冬,平,合,1,
36,徒,冬,定,冬,平,合,1,
37,藏,宗,從,冬,平,合,1,
38,奴,冬,泥,冬,平,合,1,
39,古,冬,見,冬,平,合,1,
40,戶,冬,匣,冬,平,合,1,
41,力,冬,來,冬,平,合,1,
42,作,冬,精,冬,平,合,1,
43,私,宗,心,冬,平,合,1,
44,他,冬,透,冬,平,合,1,
45,職,容,章,鍾,平,開,3,
46,力,鍾,來,鍾,平,開,3,
47,書,容,書,鍾,平,開,3,
48,祥,容,邪,鍾,平,開,3,
49,尺,容,昌,鍾,平,開,3,
50,餘,封,以,鍾,平,開,3,
51,府,容,幫,鍾,平,,3,
52,許,容,曉,鍾,平,開,3,
53,魚,容,疑,鍾,平,開,3,
54,於,容,影,鍾,平,開,3,
55,女,容,孃,鍾,平,開,3,
56,直,容,澄,鍾,平,開,3,
57,疾,容,從,鍾,平,開,3,
58,丑,凶,徹,鍾,平,開,3,
59,符,容,並,鍾,平,,3,
60,敷,容,滂,鍾,平,,3,
61,即,容,精,鍾,平,開,3,
62,而,容,日,鍾,平,開,3,
63,渠,容,羣,鍾,平,開,3,
64,蜀,庸,常,鍾,平,開,3,
65,九,容,見,鍾,平,開,3,
66,息,恭,心,鍾,平,開,3,
67,七,恭,清,鍾,平,開,3,
68,曲,恭,溪,鍾,平,開,3,
69,古,雙,見,江,平,開,2,
70,莫,江,明,江,平,,2,
71,女,江,孃,江,平,開,2,
72,楚,江,初,江,平,開,2,
73,博,江,幫,江,平,,2,
74,下,江,匣,江,平,開,2,
75,匹,江,滂,江,平,,2,
