識別號,韻目識別號,韻目列號,攝,四聲調號,調,目次,韻目,韻類,等呼,等,呼,韻母,韻目標音對照識別,韻母標音,切語下字集,備註
1,1,1,通,1,平,上平01東,東,東一,獨洪,1,開,01獨洪,1,ong,工公紅東洪空,
2,1,1,通,1,平,上平01東,東,東二,獨細,3,開,01獨細,2,iong,弓戎中宮終融隆,
3,58,1,通,2,上,上01董,董,董一,獨洪,1,開,01獨洪,1,ong,動乙摠董蠓孔揔,
4,58,1,通,2,上,上01董,董,董二,獨細,3,開,01獨細,2,iong,,董韻無3等字
5,113,1,通,3,去,去01送,送,送一,獨洪,1,開,01獨洪,1,ong,貢弄送凍鳳,
6,113,1,通,3,去,去01送,送,送二,獨細,3,開,01獨細,2,iong,仲眾衆,
7,174,1,通,4,入,入01屋,屋,屋一,獨洪,1,開,01獨洪,1,ok,谷祿禄木卜,
8,174,1,通,4,入,入01屋,屋,屋二,獨細,3,開,01獨細,2,iok,六逐匊宿竹菊福,
9,2,2,通,1,平,上平02冬,冬,冬,獨洪,1,開,02獨洪,3,ong,宗冬,
10,114,2,通,3,去,去02宋,宋,宋,獨洪,1,開,02獨洪,3,ong,統宋綜,
11,175,2,通,4,入,入02沃,沃,沃,獨洪,1,開,02獨洪,3,ok,毒沃篤酷,
12,3,3,通,1,平,上平03鍾,鍾,鍾,獨細,3,開,03獨細,4,iong,容凶庸鍾恭封,
13,59,3,通,2,上,上02腫,腫,腫,獨細,3,開,03獨細,4,iong,隴勇拱悚冢冗踵奉宂𪁪湩,
14,115,3,通,3,去,去03用,用,用,獨細,3,開,03獨細,4,iong,用訟頌,
15,176,3,通,4,入,入03燭,燭,燭,獨細,3,開,03獨細,4,iok,玉欲曲足蜀祿録錄,
16,4,4,江,1,平,上平04江,江,江,獨洪,2,開,04獨洪,5,ang,雙江,
17,60,4,江,2,上,上03講,講,講,獨洪,2,開,04獨洪,5,ang,項講慃,
18,116,4,江,3,去,去04絳,絳,絳,獨洪,2,開,04獨洪,5,ang,巷絳降,
19,177,4,江,4,入,入04覺,覺,覺,獨洪,2,開,04獨洪,5,ak,岳角覺邈,
20,5,5,止,1,平,上平05支,支,支一,開細,3,開,05開細,6,i,移支離知宜羈奇皮肌其兹甾,
21,5,5,止,1,平,上平05支,支,支二,合細,3,合,05合細,7,ui,為爲垂危吹隨規隋隹,
22,61,5,止,2,上,上04紙,紙,紙一,開細,3,開,05開細,6,i,氏紙此是豸侈爾綺倚俾婢弭帋委,
23,61,5,止,2,上,上04紙,紙,紙二,合細,3,合,05合細,7,ui,累詭捶髓毀棰,
24,117,5,止,3,去,去05寘,寘,寘一,開細,3,開,05開細,6,i,義賜豉智寄企避靡彼寘,
25,117,5,止,3,去,去05寘,寘,寘二,合細,3,合,05合細,7,ui,睡僞恚瑞累偽,
26,6,6,止,1,平,上平06脂,脂,脂一,開細,3,開,06開細,8,i,夷脂飢尼冗資私眉悲,
27,6,6,止,1,平,上平06脂,脂,脂二,合細,3,合,06合細,9,ui,追綏佳遺維,
28,62,6,止,2,上,上05旨,旨,旨一,開細,3,開,06開細,8,i,雉視矢姊屐履几美鄙,
29,62,6,止,2,上,上05旨,旨,旨二,合細,3,合,06合細,9,ui,誄洧水軌癸壘,
30,118,6,止,3,去,去06至,至,至一,開細,3,開,06開細,8,i,利四自冀兾至器二季悸媚備寐祕,
31,118,6,止,3,去,去06至,至,至二,合細,3,合,06合細,9,ui,類遂萃位醉愧,
32,7,7,止,1,平,上平07之,之,之,獨細,3,開,07獨細,10,i,而之茲持甚菑,
33,63,7,止,2,上,上06止,止,止,獨細,3,開,07獨細,10,i,己止紀市里史理擬士,
34,119,7,止,3,去,去07志,志,志,獨細,3,開,07獨細,10,i,吏記志置忌,
35,8,8,止,1,平,上平08微,微,微一,開細,3,開,08開細,11,i,希衣依,
36,8,8,止,1,平,上平08微,微,微二,合細,3,合,08合細,12,ui,韋歸微非,
37,64,8,止,2,上,上07尾,尾,尾一,開細,3,開,08開細,11,i,豈狶豨,
38,64,8,止,2,上,上07尾,尾,尾二,合細,3,合,08合細,12,ui,偉鬼匪尾,
39,120,8,止,3,去,去08未,未,未一,開細,3,開,08開細,11,i,既旣豙溉,
40,120,8,止,3,去,去08未,未,未二,合細,3,合,08合細,12,ui,貴胃畏沸未味,
41,9,9,遇,1,平,上平09魚,魚,魚,獨細,3,開,09獨細,13,u,居魚諸余葅𦵔,
42,65,9,遇,2,上,上08語,語,語,獨細,3,開,09獨細,13,u,巨舉呂吕渚與許與与,
43,121,9,遇,3,去,去09御,御,御,獨細,3,開,09獨細,13,u,倨去據洳預恕署助慮御,
44,10,10,遇,1,平,上平10虞,虞,虞,獨細,3,開,10獨細,14,u,俱朱誅隅俞輸逾芻于無夫,
45,66,10,遇,2,上,上09麌,麌,麌,獨細,3,開,10獨細,14,u,矩主庾雨禹羽武甫,
46,122,10,遇,3,去,去10遇,遇,遇,獨細,3,開,10獨細,14,u,具遇句戌戍注,
47,11,11,遇,1,平,上平11模,模,模,獨洪,1,開,11獨洪,15,oo,胡都吳乎姑烏吾孤,
48,67,11,遇,2,上,上10姥,姥,姥,獨洪,1,開,11獨洪,15,oo,古戶戸杜魯補五,
49,123,11,遇,3,去,去11暮,暮,暮,獨洪,1,開,11獨洪,15,oo,故誤暮祚路,
