識別號,廣韻小字序,漢字,字義摘要
1,1.1,東,春方也≆說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七
2,1.2,菄,東風菜義見上注俗加艹
3,1.3,鶇,鶇鵍鳥名美形出廣雅亦作𪂝
4,1.4,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟
5,1.5,𠍀,儱倲儜劣皃出字諟
6,1.6,倲,上同
7,1.7,𩜍,地理志云東郡館名
8,1.8,𢘐,古文見道經
9,1.9,涷,瀧涷沾漬≆說文曰水出發鳩山入於河又都貢切
10,1.10,蝀,螮蝀虹也又音董
11,1.11,凍,凍凌又都貢切
12,1.12,鯟,魚名似鯉
13,1.13,𢔅,行皃
14,1.14,崠,崠如山名
15,1.15,埬,上埬地名
16,1.16,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵
17,1.17,䰤,醜皃
18,2.1,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五
19,2.2,仝,古文出道書
20,2.3,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉
21,2.4,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通
22,2.5,銅,金之一品
23,2.6,桐,木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷
24,2.7,峒,崆峒山名
25,2.8,硐,磨也
26,2.9,𦨴,𦨴舩
27,2.10,𧱁,獸似豕出泰山
28,2.11,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒
29,2.12,瞳,目瞳
30,2.13,㼧,㼧瓦
31,2.14,𤭁,上同
32,2.15,罿,車上網又音衝
33,2.16,犝,犝牛無角
34,2.17,筩,竹筩
35,2.18,潼,水名出廣漢郡亦關名又通衝二音
36,2.19,曈,曈曨日欲明也又他孔切
37,2.2,洞,洪洞縣名在晉州北又徒弄切
38,2.21,侗,楊子法言云倥侗顓蒙
39,2.22,橦,木名花可爲布出字書又鍾幢二音
40,2.23,烔,熱氣烔烔出字林
41,2.24,䴀,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記
42,2.25,挏,引也漢官名有挏馬又音動
43,2.26,酮,馬酪又音動
44,2.27,鮦,爾雅云鰹大鮦又直冡直栁二切
45,2.28,㼿,井甓一云甃也
46,2.29,𦏆,無角羊
47,2.3,𦍻,上同
48,2.31,眮,目眶又徒揔切
49,2.32,蕫,草名又多動切
50,2.33,穜,穜稑先種後熟謂之穜後種先熟謂之稑又音重
51,2.34,衕,通街也
52,2.35,𩍅,靫具飾也
53,2.36,𢈉,地下應聲
54,2.37,䆚,通䆚也
55,2.38,哃,哃𠹔大言
56,2.39,𢏕,弓飾
57,2.4,絧,布名
58,2.41,𨚯,郷名
59,2.42,𨝯,地名又姓
60,2.43,𪔝,鼓聲
61,2.44,𩦶,黑虎
62,2.45,𪒿,黑皃
63,3.1,中,平也成也宜也堪也任也和也半也又姓漢少府郷中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張晏云姓路爲中大夫何氏姓苑有中壘氏中野氏陟弓切又陟仲切四
64,3.2,衷,善也正也適也中也又衷衣褻衣也
65,3.3,忠,無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州
66,3.4,𦬕,草名又音沖
67,4.1,蟲,爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲[進/達]直弓切七
68,4.2,沖,和也深也
69,4.3,种,稚也或作沖亦姓後漢司徒河南种暠
70,4.4,盅,器虛也又敕中切
71,4.5,爞,爾雅云爞爞炎炎熏也
72,4.6,𦬕,草名又音中
73,4.7,翀,直上飛也
74,5.1,終,極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五
75,5.2,衆,又之仲切
76,5.3,潨,小水入大水又徂紅在冬二切
77,5.4,𣧩,殁也
78,5.5,螽,螽斯蟲也
79,5.6,𧑄,上同
80,5.7,鼨,豹文䑕也
81,5.8,蔠,蔠葵蘩露也
82,5.9,柊,木名又齊人謂椎爲柊楑也
83,5.1,𩅧,小雨
84,5.11,䶱,字書云龜名也
85,5.12,鴤,鳥名
86,5.13,䈺,篋䈺戎人呼之
87,5.14,泈,水名在襄陽
88,5.15,䝦,獸如豹
89,6.1,忡,憂也敕中切三
90,6.2,浺,浺瀜水平逺之皃又音蟲
91,6.3,盅,器虚也又音蟲
92,7.1,崇,高也敬也就也聚也又姓鋤弓切四
93,7.2,崈,上同
94,7.3,㓽,鍤屬
95,7.4,𩞉,饞𩞉貪食也出古今字音
96,8.1,嵩,山髙也又山名又姓史記有嵩極玄子或作崧息弓切九
97,8.2,崧,上同
98,8.3,𪀚,似鷹而小能捕雀也
99,8.4,娀,有娀氏女𥳑狄帝嚳次妃吞乙卵生契
100,8.5,菘,菜名
101,8.6,硹,地名在遼
102,8.7,㣝,姓也
103,8.8,𧊕,蟲名
104,8.9,𨱿,細毛
105,9.1,戎,戎狄亦助也≆說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九
106,9.2,𢦦,上同
107,9.3,茙,茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也
108,9.4,㭜,木名
109,9.5,駥,馬八尺也
110,9.6,𥬪,小竹可爲矢
111,9.7,𠈋,𠈋人身有三角也
112,9.8,狨,細布
113,9.9,絨,上同
114,10.1,弓,弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也丗本曰黃帝臣揮作弓墨子曰羿作弓孫子曰[傜/倕]作弓又姓魯大夫叔弓之後居戎切六
115,10.2,躳,身也親也又姓出姓苑
116,10.3,躬,上同
117,10.4,㴦,縣名在酒泉
118,10.5,宮,白虎通曰黃帝作宫室以避寒暑宫之言中也丗本曰禹作宫亦官名漢書曰少府官有守宫令主御筆墨紙封書泥也又姓左傳虞有宫之奇
119,10.6,匑,謹敬之皃又音穹
120,11.1,融,和也朗也≆說文曰炊气上出也又姓丗本云古天子祝融之後以戎切四
121,11.2,肜,祭名又敕林切
122,11.3,瀜,沖瀜大水皃
123,12.1,雄,雄雌也亦姓舜友有雄陶羽弓切二
124,12.2,熊,獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊冝僚又漢複姓左傳楚大夫熊率且比
125,13.1,瞢,目不明莫中切六
126,13.2,夢,≆說文曰不明也又武仲切
127,13.3,𨞯,邑名在[魯/曹]郡
128,13.4,懜,慙也國語云君使臣懜
129,13.5,𦫰,𦫰𦫰醜皃
130,13.6,𧲎,獸似豕目在耳出崐崘
131,14.1,穹,髙也去宫切七
132,14.2,𢞏,憂也
133,14.3,焪,乾也
134,14.4,芎,芎藭香草根曰芎藭苗曰蘪蕪似蛇牀
135,14.5,𦵡,上同
136,14.6,匑,謹敬之皃
137,14.7,𥳎,𥳎籠也又去龍切
138,15.1,窮,窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三
139,15.2,藭,芎藭
140,15.3,𥨪,羿所封國
141,16.1,馮,馮翊郡名又姓畢公髙之伸食采於馮城因而命氏出杜陵乃長樂房戎切七
142,16.2,堸,蟲室
143,16.3,汎,浮也又孚劔切
144,16.4,芃,草盛也又音蓬
145,16.5,𨝭,姬姓之國
146,16.6,渢,𢎞大聲也
147,16.7,梵,木得風皃又防泛切
148,17.1,風,敎也佚也告也聲也河圖曰風者天地之使元命包曰隂陽怒而爲風方戎切七
149,17.2,飌,古文
150,17.3,楓,木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝髙三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄
151,17.4,猦,猦[母/𤝕]狀如猿逢人則叩頭小打便死得風還活出異物志
152,17.5,偑,地名
153,17.6,檒,檒梵聲也
154,17.7,𧆉,竹名出南海
155,18.1,豐,大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷[空/隆]切八
156,18.2,酆,邑名亦姓左傳有狄相酆舒
157,18.3,蘴,蕪菁苗也
158,18.4,灃,水名在咸陽
159,18.5,寷,大屋
160,18.6,麷,煑麥
161,18.7,㒥,偓㒥仙人
162,18.8,㠦,山名
163,19.1,充,美也塞也行也滿也昌終切七
164,19.2,珫,珫耳玉名詩傳云充耳謂之瑱字俗從玉
165,19.3,茺,茺蔚草也
166,19.4,㤝,心動
167,19.5,䘪,䘪襌衣也
168,19.6,𪎽,黃色又音統
169,19.7,㳘,水聲
170,20.1,隆,盛也豐也大也力中切六
171,20.2,癃,病也亦作𤸇
172,20.3,𪔳,鼓聲俗作𪔴
173,20.4,窿,穹隆天勢俗加穴
174,20.5,霳,豐隆雷師俗加雨
175,20.6,㚅,多㚅礼天
176,21.1,空,空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四
177,21.2,箜,箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也
178,21.3,崆,崆峒
179,21.4,椌,器物朴也又丘江切
180,21.5,硿,硿青色[-/石]也
181,21.6,䅝,稻稈
182,21.7,悾,悾悾信也慤也
183,21.8,埪,土埪龕也
184,21.9,倥,倥侗
185,21.1,涳,涳濛小雨又口江切
186,21.11,鵼,怪鳥出字統
187,21.12,𦱇,𦱇心草也
188,21.13,𢃐,衣袂
189,21.14,𧌆,蟬脫𧌆皮
190,22.1,公,通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何[𦵧/藐]公父歜公賔庚公思展公鉏極公[申/甲]叔子費宰公山弗櫌公甲叔公巫召伯衞有公文要戰國䇿齊威王時有左執法公旗蕃左傳齊悼子公旗之後左傳季武子庶子公沮後以爲氏孟子有公行子著書左傳晉成公以卿之庶子爲公行大夫其後氏焉孔子家語魯有公冶長又公索氏將祭而亡其牲者魯有公愼氏出婬妻又有公罔之裘揚觶者孔子弟子齊人公晳哀陳人公良儒公西赤公祖句兹公肩定漢書藝文志有公檮子著書又有公勝生著書濟南公玉帶上明堂圖功臣表有公師壹晉穆公子成師之後又有公扈滿意後漢有零陵太守公仇稱晉穆公子仇之後又弘農令北海公沙穆山陽公堵恭魏志有公夏浩晉書有征虜長史太山公正羣成都王帳下督公帥蕃本姓公師避晉景帝諱改爲公帥氏前趙録有大中大夫公帥式子夏門人齊人公羊髙作春秋傳列女傳有公乗之姒墨子魯有公輸班衞大夫公叔文子史記有魯相公儀休孔子門人公休哀又有公祈哀禮記魯大夫公明儀何氏姓苑云今髙平人衞大夫公南文子魯有公荆皎衞大夫公子荆之後魯大夫公襄昭魯襄公太子野之後魯大夫公伯寮何氏姓苑云彭城人趙平陵太守公休勝魯士官公爲珍魯昭公子公爲之後楚大夫公朱髙宋公子子朱之後公車氏秦公子伯車之後淮南子有公牛哀病七日化爲虎齊公子牛之後吕氏春秋有邴大夫公息忘孟子稱公都子有學業楚公子田食采於都邑後氏焉公劉氏后稷公劉之後古今人表有公房皮楚公子房之後郭泰别傳有渤海公族進階衞大夫有公上王世本有魯大夫公之文晉蒲邑大夫公佗世郷秦公子金之後有公金氏齊公子成之後有公牽氏何氏姓苑云公右氏今琅邪人公左氏今髙平人又有公言公孟公獻公留公石公旅公仲等氏又左傳衞有𢈔公差以善射聞祭公謀父出自姜姓申公子福楚申公巫臣之後衞有尹公佗楚大夫逢公子仲楚白公勝之後有白公氏文字志云魏文侯時有古樂人竇公氏獻古文樂書一篇秦有博士黃公庇古今人表神農之後有公幹仕齊爲大夫其後氏焉丗本有大公叔頴又有公紀氏衞有大夫左公子洩右公子職漢四晧有園公先生尚書僕射東郡成公敞古紅切十三
191,22.2,功,功績也≆說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作功
192,22.3,工,官也又工巧也
193,22.4,疘,文字集略云脱疘下部病也
194,22.5,蚣,蜈蚣蟲
195,22.6,玒,王名又音江
196,22.7,釭,車釭≆說文曰車轂中鐵也又古雙切
197,22.8,魟,䱑魟江蟲形似蟹可食又音烘
198,22.9,攻,攻擊
199,22.1,㓚,銍穫也
200,22.11,愩,憒也
201,22.12,碽,擊聲
202,22.13,篢,篢笠方言
203,23.1,蒙,覆也奄也爾雅釋草曰蒙王女也莫紅切二十[六/七]
204,23.2,冡,≆說文覆也
205,23.3,濛,涳濛細雨
206,23.4,𩦺,驢子曰𩦺
207,23.5,艨,艨艟戰船又武用切
208,23.6,䑃,大皃
209,23.7,矇,矇瞽
210,23.8,饛,盛食滿皃
211,23.9,䰒,馬垂鬣也
212,23.1,檬,似槐[葉/華]黃
213,23.11,𨢊,麴生衣皃
214,23.12,䴿,上同
215,23.13,𨣘,亦上同
216,23.14,鸏,鸏䴀鳥也
217,23.15,幪,覆也蓋衣也又幪縠
218,23.16,罞,爾雅曰麋罟謂之罞
219,23.17,𢄐,≆說文云蓋衣也又莫弄切
220,23.18,髳,爾雅釋詁曰覭髳茀離也
221,23.19,蠓,蠛蠓似蚊又莫孔切
222,23.2,𦿏,草可爲帚
223,23.21,雺,天氣下地不應曰雺又莫侯切
224,23.22,霿,並上同
