字號,漢字,標音,上字,下字,上字號,聲母,聲母標音,七聲類,清濁,發送收,下字號,韻母,韻母標音,韻目列號,攝,調,目次,韻目,等呼,等,呼,廣韻調名,台羅聲調,字義識別號
1,東,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,1
2,菄,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,2
3,鶇,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,3
4,䍶,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,4
5,𠍀,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,5
6,倲,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,6
7,𩜍,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,7
8,𢘐,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,8
9,涷,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,9
10,蝀,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,10
11,凍,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,11
12,鯟,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,12
13,𢔅,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,13
14,崠,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,14
15,埬,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,15
16,𧓕,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,16
17,䰤,tong1,德,紅,9,端,t,舌音,全清,發聲,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,清平,1,17
18,同,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,18
19,仝,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,19
20,童,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,20
21,僮,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,21
22,銅,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,22
23,桐,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,23
24,峒,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,24
25,硐,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,25
26,𦨴,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,26
27,𧱁,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,27
28,筒,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,28
29,瞳,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,29
30,㼧,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,30
31,𤭁,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,31
32,罿,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,32
33,犝,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,33
34,筩,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,34
35,潼,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,35
36,曈,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,36
37,洞,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,37
38,侗,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,38
39,橦,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,39
40,烔,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,40
41,䴀,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,41
42,挏,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,42
43,酮,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,43
44,鮦,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,44
45,㼿,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,45
46,𦏆,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,46
47,𦍻,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,47
48,眮,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,48
49,蕫,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,49
50,穜,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,50
51,衕,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,51
52,𩍅,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,52
53,𢈉,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,53
54,䆚,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,54
55,哃,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,55
56,𢏕,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,56
57,絧,tong5,徒,紅,11,定,t,舌音,全濁, ,1,01獨洪,ong,1,通,平,上平01東,東,獨洪,1,開,濁平,5,57
