漢字號,漢字,標音,常用度,上字,下字,小韻號,上字號,下字號
1,東,tong1,0.65,德,紅,1,5,1
2,菄,tong1,0.65,德,紅,1,5,1
3,鶇,tong1,0.65,德,紅,1,5,1
4,䍶,tong1,0.65,德,紅,1,5,1
5,𠍀,tong1,0.65,德,紅,1,5,1
6,倲,tong1,0.65,德,紅,1,5,1
7,𩜍,tong1,0.65,德,紅,1,5,1
8,𢘐,tong1,0.65,德,紅,1,5,1
9,涷,tong1,0.65,德,紅,1,5,1
10,蝀,tong1,0.65,德,紅,1,5,1
11,凍,tong1,0.65,德,紅,1,5,1
12,鯟,tong1,0.65,德,紅,1,5,1
13,𢔅,tong1,0.65,德,紅,1,5,1
14,崠,tong1,0.65,德,紅,1,5,1
15,埬,tong1,0.65,德,紅,1,5,1
16,𧓕,tong1,0.65,德,紅,1,5,1
17,䰤,tong1,0.65,德,紅,1,5,1
18,同,tong5,0.65,徒,紅,2,7,1
19,仝,tong5,0.65,徒,紅,2,7,1
20,童,tong5,0.65,徒,紅,2,7,1
21,僮,tong5,0.65,徒,紅,2,7,1
22,銅,tong5,0.65,徒,紅,2,7,1
23,桐,tong5,0.65,徒,紅,2,7,1
24,峒,tong5,0.65,徒,紅,2,7,1
25,硐,tong5,0.65,徒,紅,2,7,1
26,𦨴,tong5,0.65,徒,紅,2,7,1
27,𧱁,tong5,0.65,徒,紅,2,7,1
28,筒,tong5,0.65,徒,紅,2,7,1
29,瞳,tong5,0.65,徒,紅,2,7,1
30,㼧,tong5,0.65,徒,紅,2,7,1
31,𤭁,tong5,0.65,徒,紅,2,7,1
32,罿,tong5,0.65,徒,紅,2,7,1
33,犝,tong5,0.65,徒,紅,2,7,1
34,筩,tong5,0.65,徒,紅,2,7,1
35,潼,tong5,0.65,徒,紅,2,7,1
36,曈,tong5,0.65,徒,紅,2,7,1
37,洞,tong5,0.65,徒,紅,2,7,1
38,侗,tong5,0.65,徒,紅,2,7,1
39,橦,tong5,0.65,徒,紅,2,7,1
40,烔,tong5,0.65,徒,紅,2,7,1
41,䴀,tong5,0.65,徒,紅,2,7,1
42,挏,tong5,0.65,徒,紅,2,7,1
43,酮,tong5,0.65,徒,紅,2,7,1
44,鮦,tong5,0.65,徒,紅,2,7,1
45,㼿,tong5,0.65,徒,紅,2,7,1
46,𦏆,tong5,0.65,徒,紅,2,7,1
47,𦍻,tong5,0.65,徒,紅,2,7,1
48,眮,tong5,0.65,徒,紅,2,7,1
49,蕫,tong5,0.65,徒,紅,2,7,1
50,穜,tong5,0.65,徒,紅,2,7,1
51,衕,tong5,0.65,徒,紅,2,7,1
52,𩍅,tong5,0.65,徒,紅,2,7,1
53,𢈉,tong5,0.65,徒,紅,2,7,1
54,䆚,tong5,0.65,徒,紅,2,7,1
55,哃,tong5,0.65,徒,紅,2,7,1
56,𢏕,tong5,0.65,徒,紅,2,7,1
57,絧,tong5,0.65,徒,紅,2,7,1
58,𨚯,tong5,0.65,徒,紅,2,7,1
59,𨝯,tong5,0.65,徒,紅,2,7,1
60,𪔜,tong5,0.65,徒,紅,2,7,1
61,𩦶,tong5,0.65,徒,紅,2,7,1
62,𪒿,tong5,0.65,徒,紅,2,7,1
63,中,tiong1,0.65,陟,弓,3,9,2
64,衷,tiong1,0.65,陟,弓,3,9,2
65,忠,tiong1,0.65,陟,弓,3,9,2
66,𦬕,tiong1,0.65,陟,弓,3,9,2
67,蟲,tiong5,0.65,直,弓,4,11,2
68,沖,tiong5,0.65,直,弓,4,11,2
69,种,tiong5,0.65,直,弓,4,11,2
70,盅,tiong5,0.65,直,弓,4,11,2
71,爞,tiong5,0.65,直,弓,4,11,2
72,𦬕,tiong5,0.65,直,弓,4,11,2
73,翀,tiong5,0.65,直,弓,4,11,2
74,終,ziong1,0.65,職,戎,5,30,2
75,眾,ziong1,0.65,職,戎,5,30,2
76,潀,ziong1,0.65,職,戎,5,30,2
77,𣧩,ziong1,0.65,職,戎,5,30,2
78,螽,ziong1,0.65,職,戎,5,30,2
79,𧑄,ziong1,0.65,職,戎,5,30,2
80,鼨,ziong1,0.65,職,戎,5,30,2
81,蔠,ziong1,0.65,職,戎,5,30,2
82,柊,ziong1,0.65,職,戎,5,30,2
83,𩅧,ziong1,0.65,職,戎,5,30,2
84,䶱,ziong1,0.65,職,戎,5,30,2
85,鴤,ziong1,0.65,職,戎,5,30,2
86,䈺,ziong1,0.65,職,戎,5,30,2
87,泈,ziong1,0.65,職,戎,5,30,2
88,䝦,ziong1,0.65,職,戎,5,30,2
89,忡,thiong1,0.65,敕,中,6,10,2
90,浺,thiong1,0.65,敕,中,6,10,2
91,盅,thiong1,0.65,敕,中,6,10,2
92,崇,ziong5,0.65,鋤,弓,7,28,2
93,崈,ziong5,0.65,鋤,弓,7,28,2
94,㓽,ziong5,0.65,鋤,弓,7,28,2
95,𩞉,ziong5,0.65,鋤,弓,7,28,2
96,嵩,siong1,0.65,息,弓,8,24,2
97,崧,siong1,0.65,息,弓,8,24,2
98,𪀚,siong1,0.65,息,弓,8,24,2
99,娀,siong1,0.65,息,弓,8,24,2
100,菘,siong1,0.65,息,弓,8,24,2
101,硹,siong1,0.65,息,弓,8,24,2
102,㣝,siong1,0.65,息,弓,8,24,2
103,𧊕,siong1,0.65,息,弓,8,24,2
104,䯷,siong1,0.65,息,弓,8,24,2
105,戎,jiong5,0.65,如,融,9,41,2
106,𢦦,jiong5,0.65,如,融,9,41,2
107,茙,jiong5,0.65,如,融,9,41,2
108,㭜,jiong5,0.65,如,融,9,41,2
109,駥,jiong5,0.65,如,融,9,41,2
110,𥬪,jiong5,0.65,如,融,9,41,2
111,𠈋,jiong5,0.65,如,融,9,41,2
112,狨,jiong5,0.65,如,融,9,41,2
113,絨,jiong5,0.65,如,融,9,41,2
114,弓,kiong1,0.65,居,戎,10,1,2
115,躳,kiong1,0.65,居,戎,10,1,2
116,躬,kiong1,0.65,居,戎,10,1,2
117,㴦,kiong1,0.65,居,戎,10,1,2
118,宮,kiong1,0.65,居,戎,10,1,2
119,匑,kiong1,0.65,居,戎,10,1,2
120,融,Øiong5,0.65,以,戎,11,39,2
121,肜,Øiong5,0.65,以,戎,11,39,2
122,瀜,Øiong5,0.65,以,戎,11,39,2
123,雄,Øiong5,0.65,羽,弓,12,38,2
124,熊,Øiong5,0.65,羽,弓,12,38,2
125,瞢,miong5,0.65,莫,中,13,16,2
126,夢,miong5,0.65,莫,中,13,16,2
127,鄸,miong5,0.65,莫,中,13,16,2
128,懜,miong5,0.65,莫,中,13,16,2
129,𦫰,miong5,0.65,莫,中,13,16,2
130,𧲎,miong5,0.65,莫,中,13,16,2
131,穹,khiong1,0.65,去,宮,14,2,2
132,𢞏,khiong1,0.65,去,宮,14,2,2
133,焪,khiong1,0.65,去,宮,14,2,2
134,芎,khiong1,0.65,去,宮,14,2,2
135,𦵡,khiong1,0.65,去,宮,14,2,2
136,匑,khiong1,0.65,去,宮,14,2,2
137,𥳎,khiong1,0.65,去,宮,14,2,2
138,窮,kiong5,0.65,渠,弓,15,3,2
139,藭,kiong5,0.65,渠,弓,15,3,2
140,𥨪,kiong5,0.65,渠,弓,15,3,2
141,馮,hiong5,0.65,房,戎,16,19,2
142,堸,hiong5,0.65,房,戎,16,19,2
