韻目識別號,韻目,韻目方陣識別號,韻目列號,韻攝,四聲調號,調,廣韻聲調,舒促聲,目次序號,目次
1,東,1,1,通,1,平,上平,舒,1,上平01東
2,冬,2,2,通,1,平,上平,舒,2,上平02冬
3,鍾,3,3,通,1,平,上平,舒,3,上平03鍾
4,江,4,4,江,1,平,上平,舒,4,上平04江
5,支,5,5,止,1,平,上平,舒,5,上平05支
6,脂,6,6,止,1,平,上平,舒,6,上平06脂
7,之,7,7,止,1,平,上平,舒,7,上平07之
8,微,8,8,止,1,平,上平,舒,8,上平08微
9,魚,9,9,遇,1,平,上平,舒,9,上平09魚
10,虞,10,10,遇,1,平,上平,舒,10,上平10虞
11,模,11,11,遇,1,平,上平,舒,11,上平11模
12,齊,12,12,蟹,1,平,上平,舒,12,上平12齊
13,佳,15,15,蟹,1,平,上平,舒,13,上平13佳
14,皆,16,16,蟹,1,平,上平,舒,14,上平14皆
15,灰,18,18,蟹,1,平,上平,舒,15,上平15灰
16,咍,19,19,蟹,1,平,上平,舒,16,上平16咍
17,真,21,21,臻,1,平,上平,舒,17,上平17真
18,諄,22,22,臻,1,平,上平,舒,18,上平18諄
19,臻,23,23,臻,1,平,上平,舒,19,上平19臻
20,文,24,24,臻,1,平,上平,舒,20,上平20文
21,殷,25,25,臻,1,平,上平,舒,21,上平21殷
22,元,26,26,臻,1,平,上平,舒,22,上平22元
23,魂,27,27,臻,1,平,上平,舒,23,上平23魂
24,痕,28,28,臻,1,平,上平,舒,24,上平24痕
25,寒,29,29,山,1,平,上平,舒,25,上平25寒
26,桓,30,30,山,1,平,上平,舒,26,上平26桓
27,刪,31,31,山,1,平,上平,舒,27,上平27刪
28,山,32,32,山,1,平,上平,舒,28,上平28山
29,先,33,33,山,1,平,下平,舒,1,下平01先
30,仙,34,34,山,1,平,下平,舒,2,下平02仙
31,蕭,35,35,效,1,平,下平,舒,3,下平03蕭
32,宵,36,36,效,1,平,下平,舒,4,下平04宵
33,肴,37,37,效,1,平,下平,舒,5,下平05肴
34,豪,38,38,效,1,平,下平,舒,6,下平06豪
35,歌,39,39,果,1,平,下平,舒,7,下平07歌
