識別,韻目,韻目列號,韻攝,廣韻聲調,目次序號
1,東,1,通,上平,1
2,冬,2,通,上平,2
3,鍾,3,通,上平,3
4,江,4,江,上平,4
5,支,5,止,上平,5
6,脂,6,止,上平,6
7,之,7,止,上平,7
8,微,8,止,上平,8
9,魚,9,遇,上平,9
10,虞,10,遇,上平,10
11,模,11,遇,上平,11
12,齊,12,蟹,上平,12
13,∅,13,蟹,0,0
14,∅,14,蟹,0,0
15,佳,15,蟹,上平,13
16,皆,16,蟹,上平,14
17,∅,17,蟹,0,0
18,灰,18,蟹,上平,15
19,咍,19,蟹,上平,16
20,∅,20,蟹,0,0
21,真,21,臻,上平,17
22,諄,22,臻,上平,18
23,臻,23,臻,上平,19
24,文,24,臻,上平,20
25,殷,25,臻,上平,21
26,元,26,臻,上平,22
27,魂,27,臻,上平,23
28,痕,28,臻,上平,24
29,寒,29,山,上平,25
30,桓,30,山,上平,26
31,刪,31,山,上平,27
32,山,32,山,上平,28
33,先,33,山,下平,1
34,仙,34,山,下平,2
35,蕭,35,效,下平,3
36,宵,36,效,下平,4
37,肴,37,效,下平,5
38,豪,38,效,下平,6
39,歌,39,果,下平,7
40,戈,40,果,下平,8
41,麻,41,假,下平,9
42,陽,42,宕,下平,10
43,唐,43,宕,下平,11
44,庚,44,梗,下平,12
45,耕,45,梗,下平,13
46,清,46,梗,下平,14
47,青,47,梗,下平,15
48,蒸,48,曾,下平,16
49,登,49,曾,下平,17
50,尤,50,流,下平,18
51,侯,51,流,下平,19
52,幽,52,流,下平,20
53,侵,53,深,下平,21
54,覃,54,咸,下平,22
55,談,55,咸,下平,23
56,鹽,56,咸,下平,24
57,添,57,咸,下平,25
58,咸,58,咸,下平,26
59,銜,59,咸,下平,27
60,嚴,60,咸,下平,28
61,凡,61,咸,下平,29
62,董,1,通,上,1
63,∅,2,通,0,0
64,腫,3,通,上,2
65,講,4,江,上,3
66,紙,5,止,上,4
67,旨,6,止,上,5
68,止,7,止,上,6
69,尾,8,止,上,7
70,語,9,遇,上,8
71,麌,10,遇,上,9
72,姥,11,遇,上,10
73,薺,12,蟹,上,11
74,∅,13,蟹,0,0
75,∅,14,蟹,0,0
76,蟹,15,蟹,上,12
77,駭,16,蟹,上,13
78,∅,17,蟹,0,0
79,賄,18,蟹,上,14
80,海,19,蟹,上,15
81,∅,20,蟹,0,0
82,軫,21,臻,上,16
83,準,22,臻,上,17
84,∅,23,臻,0,0
85,吻,24,臻,上,18
86,隱,25,臻,上,19
87,阮,26,臻,上,20
88,混,27,臻,上,21
89,很,28,臻,上,22
90,旱,29,山,上,23
91,緩,30,山,上,24
92,潸,31,山,上,25
93,產,32,山,上,26
94,銑,33,山,上,27
95,獮,34,山,上,28
