識別號	漢字	台羅音標	常用度	摘要說明	建立時間	更新時間
1	九	kau2	0.6		2024-10-10 22:04:39	2024-10-11 11:03:43
2	了	liau2	0.1		2024-10-10 22:04:39	2024-10-11 11:03:43
3	八	pat4	0.8		2024-10-10 22:04:39	2024-10-11 11:03:43
4	刁	tiau1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
5	刁	thiau1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
6	力	lat8	0.6		2024-10-10 22:04:39	2024-10-11 11:03:43
7	十	tsap8	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
8	三	sann1	0.6		2024-10-10 22:04:39	2024-10-11 11:03:43
9	三	sam1	0.8		2024-10-10 22:04:39	2024-10-11 11:03:43
10	三	sam3	0.7		2024-10-10 22:04:39	2024-10-11 11:03:43
11	下	ha7	0.8		2024-10-10 22:04:39	2024-10-11 11:03:43
12	千	tshainn1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
13	叉	tsha1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
14	口	khau2	0.1		2024-10-10 22:04:39	2024-10-11 11:03:43
15	大	tai7	0.8		2024-10-10 22:04:39	2024-10-11 11:03:43
16	小	siau2	0.05		2024-10-10 22:04:39	2024-10-11 11:03:43
17	山	san1	0.8		2024-10-10 22:04:39	2024-10-11 11:03:43
18	工	kang1	0.1		2024-10-10 22:04:39	2024-10-11 11:03:43
19	干	kan1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
20	才	tsai5	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
21	丐	kai3	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
22	丹	tan1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
23	仆	phak4	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
24	今	tann1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
25	介	kai3	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
26	內	lai6	0.6		2024-10-10 22:04:39	2024-10-11 11:03:43
27	公	kang1	0.1		2024-10-10 22:04:39	2024-10-11 11:03:43
28	六	lak8	0.6		2024-10-10 22:04:39	2024-10-11 11:03:43
29	冇	phann3	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
30	勾	kau1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
31	卞	pian7	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
32	反	painn2	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
33	天	thian1	0.8		2024-10-10 22:04:39	2024-10-11 11:03:43
34	太	thai3	0.1		2024-10-10 22:04:39	2024-10-11 11:03:43
35	夭	iau2	0.7	歲壽 短, 屈落, at折, 夭壽, 同 chit字 殀 字.	2024-10-10 22:04:39	2024-10-11 11:03:43
36	孔	khang1	0.6		2024-10-10 22:04:39	2024-10-11 11:03:43
37	少	siau2	0.8	濟濟 ê 對反, 幫贊, 少少, 減少.	2024-10-10 22:04:39	2024-10-11 11:03:43
38	少	siau3	0.7	"少歲, iáu-kú 幼茈, 細漢; 幫贊, 字姓, 少年.	"	2024-10-10 22:04:39	2024-10-11 11:03:43
39	巴	pa1	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
40	廿	jiap8	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
41	弔	tiau3	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
42	扎	tsah4	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
43	扎	tsat4	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
44	斗	tau2	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
45	木	bak8	0.01		2024-10-10 22:04:39	2024-10-11 11:03:43
