識別號,廣韻韻母識別號,韻系列號,韻系行號,韻目索引,目次識別號,目次,攝,韻系,韻目,調,呼,等,韻母,切語下字集,等呼,韻母拼音碼,備註
1,28,1,1,01-1,1,1.01東,通,東,東,平,開,1,東開1舒聲,工公紅東洪空,獨洪,ong,
2,28,1,2,01-2,62,3.01董,通,東,董,上,開,1,東開1舒聲,動乙摠董蠓孔揔,獨洪,ong,
3,28,1,3,01-3,123,4.01送,通,東,送,去,開,1,東開1舒聲,貢弄送凍鳳,獨洪,ong,
4,29,1,4,01-4,184,5.01屋,通,東,屋,入,開,1,東開1促聲,谷祿禄木卜,獨洪,ok,
5,80,1,1,01-1,1,1.01東,通,東,東,平,開,3,東開3舒聲,弓戎中宮終融隆,獨細,iong,
6,80,1,2,01-2,62,3.01董,通,東,董,上,開,3,東開3舒聲,,獨細,iong,董韻無3等字
7,80,1,3,01-3,123,4.01送,通,東,送,去,開,3,東開3舒聲,仲眾衆,獨細,iong,
8,81,1,4,01-4,184,5.01屋,通,東,屋,入,開,3,東開3促聲,六逐匊宿竹菊福,獨細,iok,
9,30,2,1,02-1,2,1.02冬,通,冬,冬,平,開,1,冬開1舒聲,宗冬,獨洪,ong,
11,30,2,3,02-3,124,4.02宋,通,冬,宋,去,開,1,冬開1舒聲,統宋綜,獨洪,ong,
12,31,2,4,02-4,185,5.02沃,通,冬,沃,入,開,1,冬開1促聲,毒沃篤酷,獨洪,ok,
13,82,3,1,03-1,3,1.03鍾,通,鍾,鍾,平,開,3,鍾開3舒聲,容凶庸鍾恭封,獨細,iong,
14,82,3,2,03-2,64,3.02腫,通,鍾,腫,上,開,3,鍾開3舒聲,隴勇拱悚冢冗踵奉宂𪁪湩,獨細,iong,
15,82,3,3,03-3,125,4.03用,通,鍾,用,去,開,3,鍾開3舒聲,用訟頌,獨細,iong,
16,83,3,4,03-4,186,5.03燭,通,鍾,燭,入,開,3,鍾開3促聲,玉欲曲足蜀祿録,獨細,iok,
17,111,4,1,04-1,4,1.04江,江,江,江,平,開,2,江開2舒聲,雙江,獨洪,ang,
18,111,4,2,04-2,65,3.03講,江,江,講,上,開,2,江開2舒聲,項講慃,獨洪,ang,
19,111,4,3,04-3,126,4.04絳,江,江,絳,去,開,2,江開2舒聲,巷絳降,獨洪,ang,
20,112,4,4,04-4,187,5.04覺,江,江,覺,入,開,2,江開2促聲,岳角覺,獨洪,ak,
21,130,5,1,05-1,5,1.05支,止,支,支,平,開,3,支開3舒聲,移支離知宜羈奇皮肌其兹甾,開細,i,
22,130,5,2,05-2,66,3.04紙,止,支,紙,上,開,3,支開3舒聲,氏紙此是豸侈爾綺倚俾婢弭帋,開細,i,
23,130,5,3,05-3,127,4.05寘,止,支,寘,去,開,3,支開3舒聲,義賜豉智寄企避靡彼,開細,i,
25,19,5,1,05-1,5,1.05支,止,支,支,平,合,3,支合3舒聲,為爲垂危吹隨規隋隹,合細,ui,
26,19,5,2,05-2,66,3.04紙,止,支,紙,上,合,3,支合3舒聲,累委詭捶髓毀,合細,ui,
27,19,5,3,05-3,127,4.05寘,止,支,寘,去,合,3,支合3舒聲,睡僞恚瑞累,合細,ui,
29,131,6,1,06-1,6,1.06脂,止,脂,脂,平,開,3,脂開3舒聲,夷脂飢尼冗資私眉悲,開細,i,
30,131,6,2,06-2,67,3.05旨,止,脂,旨,上,開,3,脂開3舒聲,雉視矢姊屐履几美鄙,開細,i,
31,131,6,3,06-3,128,4.06至,止,脂,至,去,開,3,脂開3舒聲,利四自冀兾至器二季悸媚備寐祕,開細,i,
33,20,6,1,06-1,6,1.06脂,止,脂,脂,平,合,3,脂合3舒聲,追綏佳遺維,合細,ui,
34,20,6,2,06-2,67,3.05旨,止,脂,旨,上,合,3,脂合3舒聲,誄洧水軌癸壘,合細,ui,
35,20,6,3,06-3,128,4.06至,止,脂,至,去,合,3,脂合3舒聲,類遂萃位醉愧,合細,ui,
37,132,7,1,07-1,7,1.07之,止,之,之,平,開,3,之開3舒聲,而之茲持甚菑,開細,i,
