小韻識別號,上字表識別號,下字表識別號,小韻字,小韻切語,小韻標音,小韻目次,小韻字序號,廣韻聲母,七聲類,發音部位,清濁,發送收,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母,廣韻韻母,目次,攝,韻系,韻目,調,呼,等,等呼,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
1,9,1,東,德紅,tong1,1.01東,1,端,舌音,舌頭音,全清,發聲,t,t,t,d,t,ㄉ,地,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
2,11,1,同,徒紅,tong5,1.01東,2,定,舌音,舌頭音,全濁,,t,t,t,d,t,ㄉ,地,東開1舒聲,1.01東,通,東,東,平,開,1,獨洪,ong,ɔŋ,ong,ong,ong,ㆲ,公
3,13,5,中,陟弓,tiong1,1.01東,3,知,舌音,舌上音,全清,發聲,t,t,t,d,t,ㄉ,地,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
4,15,5,蟲,直弓,tiong5,1.01東,4,澄,舌音,舌上音,全濁,,t,t,t,d,t,ㄉ,地,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
5,27,5,終,職戎,ciong1,1.01東,5,章,齒音,正齒近舌上,全清,發聲,c,ʦ,ch,z,ts,ㄗ,曾,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
6,14,5,忡,敕中,thiong1,1.01東,6,徹,舌音,舌上音,次清,送氣,th,tʰ,th,t,th,ㄊ,他,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
7,30,5,崇,鋤弓,ciong5,1.01東,7,崇,齒音,正齒近齒頭,全濁,,c,ʦ,ch,z,ts,ㄗ,曾,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
8,24,5,嵩,息弓,siong1,1.01東,8,心,齒音,齒頭音,全清,送氣,s,s,s,s,s,ㄙ,時,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
9,42,5,戎,如融,jiong5,1.01東,9,日,半齒音,半齒,次濁,收聲,j,ʣ,j,zz,j,ㆡ,入,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
10,17,5,弓,居戎,kiong1,1.01東,10,見,牙音,牙音,全清,發聲,k,k,k,g,k,ㄍ,求,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
11,39,5,融,以戎,Øiong5,1.01東,11,以,喉音,喉音,次濁,發聲,Ø,,,,,,英,東開3舒聲,1.01東,通,東,東,平,開,3,獨細,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭
