識別號,上字表識別號,下字表識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,聲母,聲母拼音碼,發音部位,清濁,發送收,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註,
1,9,1,德紅,tong1,東,1.01東,1,東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤,22,端,t,舌頭音,全清,發聲,東開1舒聲,ong,平,1,,,,,
2,11,1,徒紅,tong5,同,1.01東,2,同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿,58,定,t,舌頭音,全濁,,東開1舒聲,ong,平,5,,,,,
3,13,5,陟弓,tiong1,中,1.01東,3,中衷忠𦬕,5,知,t,舌上音,全清,發聲,東開3舒聲,iong,平,1,,,,,
4,15,5,直弓,tiong5,蟲,1.01東,4,蟲沖种盅爞𦬕翀,8,澄,t,舌上音,全濁,,東開3舒聲,iong,平,5,,,,,
5,27,5,職戎,ciong1,終,1.01東,5,終衆潨𣧩螽𧑄鼨蔠柊𩅧䶱鴤䈺泈䝦,18,章,c,正齒近舌上,全清,發聲,東開3舒聲,iong,平,1,,,[衆/眾],,
6,14,5,敕中,thiong1,忡,1.01東,6,忡浺盅,3,徹,th,舌上音,次清,送氣,東開3舒聲,iong,平,1,,,,,
7,30,5,鋤弓,ciong5,崇,1.01東,7,崇崈㓽𩞉,5,崇,c,正齒近齒頭,全濁,,東開3舒聲,iong,平,5,,,,,
8,24,5,息弓,siong1,嵩,1.01東,8,嵩崧𪀚娀菘硹㣝𧊕𨱿,12,心,s,齒頭音,全清,送氣,東開3舒聲,iong,平,1,,,,,
9,42,5,如融,jiong5,戎,1.01東,9,戎𢦦茙㭜駥𥬪𠈋狨絨,12,日,j,半齒,次濁,收聲,東開3舒聲,iong,平,5,,,,,
10,17,5,居戎,kiong1,弓,1.01東,10,弓躳躬㴦宮匑,6,見,k,牙音,全清,發聲,東開3舒聲,iong,平,1,,,,,
11,39,5,以戎,Øiong5,融,1.01東,11,融肜瀜,3,以,Ø,喉音,次濁,發聲,東開3舒聲,iong,平,5,,,,,
12,40,5,羽弓,Øiong5,雄,1.01東,12,雄熊,2,云,Ø,喉音,次濁,發聲,東開3舒聲,iong,平,5,,,,,
13,4,5,莫中,biong5,瞢,1.01東,13,瞢夢𨞯懜𦫰𧲎,9,明,b,重脣音,次濁,收聲,東開3舒聲,iong,平,5,,,,,
14,18,5,去宮,khiong1,穹,1.01東,14,穹𢞏焪芎𦵡匑𥳎,10,溪,kh,牙音,次清,送氣,東開3舒聲,iong,平,1,,,,,
15,19,5,渠弓,kiong5,窮,1.01東,15,窮藭𥨪,4,群,k,牙音,全濁,,東開3舒聲,iong,平,5,,,,,
16,7,5,房戎,hiong5,馮,1.01東,16,馮堸汎芃𨝭渢梵,8,奉,h,輕脣音,全濁,,東開3舒聲,iong,平,5,,,,,
