小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
3,中,陟弓,tiong1,1.01東,知,t,舌音,舌上音,全清,發聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
4,蟲,直弓,tiong5,1.01東,澄,t,舌音,舌上音,全濁,,東開3舒聲,iong,通,東,東,平,開,3,獨細
5,終,職戎,ciong1,1.01東,章,c,齒音,正齒近舌上,全清,發聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
6,忡,敕中,thiong1,1.01東,徹,th,舌音,舌上音,次清,送氣,東開3舒聲,iong,通,東,東,平,開,3,獨細
7,崇,鋤弓,ciong5,1.01東,崇,c,齒音,正齒近齒頭,全濁,,東開3舒聲,iong,通,東,東,平,開,3,獨細
8,嵩,息弓,siong1,1.01東,心,s,齒音,齒頭音,全清,送氣,東開3舒聲,iong,通,東,東,平,開,3,獨細
9,戎,如融,jiong5,1.01東,日,j,半齒音,半齒,次濁,收聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
10,弓,居戎,kiong1,1.01東,見,k,牙音,牙音,全清,發聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
11,融,以戎,Øiong5,1.01東,以,Ø,喉音,喉音,次濁,發聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
12,雄,羽弓,Øiong5,1.01東,云,Ø,喉音,喉音,次濁,發聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
13,瞢,莫中,biong5,1.01東,明,b,脣音,重脣音,次濁,收聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
14,穹,去宮,khiong1,1.01東,溪,kh,牙音,牙音,次清,送氣,東開3舒聲,iong,通,東,東,平,開,3,獨細
15,窮,渠弓,kiong5,1.01東,群,k,牙音,牙音,全濁,,東開3舒聲,iong,通,東,東,平,開,3,獨細
16,馮,房戎,hiong5,1.01東,奉,h,脣音,輕脣音,全濁,,東開3舒聲,iong,通,東,東,平,開,3,獨細
17,風,方戎,hiong1,1.01東,非,h,脣音,輕脣音,全清,發聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
18,豐,敷空,hong1,1.01東,敷,h,脣音,輕脣音,次清,送氣,東開1舒聲,ong,通,東,東,平,開,1,獨洪
19,充,昌終,chiong1,1.01東,昌,ch,齒音,正齒近舌上,次清,送氣,東開3舒聲,iong,通,東,東,平,開,3,獨細
20,隆,力中,liong5,1.01東,來,l,半舌音,半舌,次濁,收聲,東開3舒聲,iong,通,東,東,平,開,3,獨細
21,空,苦紅,khong1,1.01東,溪,kh,牙音,牙音,次清,送氣,東開1舒聲,ong,通,東,東,平,開,1,獨洪
22,公,古紅,kong1,1.01東,見,k,牙音,牙音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
23,蒙,莫紅,bong5,1.01東,明,b,脣音,重脣音,次濁,收聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
24,籠,盧紅,long5,1.01東,來,l,半舌音,半舌,次濁,收聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
25,洪,戸公,hong5,1.01東,匣,h,喉音,喉音,全濁,送氣,東開1舒聲,ong,通,東,東,平,開,1,獨洪
26,叢,徂紅,cong5,1.01東,從,c,齒音,齒頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
27,翁,烏紅,Øong1,1.01東,影,Ø,喉音,喉音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
28,怱,倉紅,chong1,1.01東,清,ch,齒音,齒頭音,次清,送氣,東開1舒聲,ong,通,東,東,平,開,1,獨洪
29,通,他紅,thong1,1.01東,透,th,舌音,舌頭音,次清,送氣,東開1舒聲,ong,通,東,東,平,開,1,獨洪
30,葼,子紅,cong1,1.01東,精,c,齒音,齒頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
31,蓬,薄紅,pong5,1.01東,並,p,脣音,重脣音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
32,烘,呼東,hong1,1.01東,曉,h,喉音,喉音,次清,送氣,東開1舒聲,ong,通,東,東,平,開,1,獨洪
33,㟅,五東,gong5,1.01東,疑,g,牙音,牙音,次濁,收聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
34,檧,蘇公,song1,1.01東,心,s,齒音,齒頭音,全清,送氣,東開1舒聲,ong,通,東,東,平,開,1,獨洪
35,冬,都宗,tong1,1.02冬,端,t,舌音,舌頭音,全清,發聲,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
36,彤,徒冬,tong5,1.02冬,定,t,舌音,舌頭音,全濁,,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
37,賨,藏宗,cong5,1.02冬,從,c,齒音,齒頭音,全濁,,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
38,農,奴冬,long5,1.02冬,泥,l,舌音,舌頭音,次濁,收聲,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
39,攻,古冬,kong1,1.02冬,見,k,牙音,牙音,全清,發聲,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
40,䃔,戸冬,hong5,1.02冬,匣,h,喉音,喉音,全濁,送氣,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
41,䃧,力冬,long5,1.02冬,來,l,半舌音,半舌,次濁,收聲,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
42,宗,作冬,cong1,1.02冬,精,c,齒音,齒頭音,全清,發聲,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
43,鬆,私宗,song1,1.02冬,心,s,齒音,齒頭音,全清,送氣,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
44,炵,他冬,thong1,1.02冬,透,th,舌音,舌頭音,次清,送氣,冬開1舒聲,ong,通,冬,冬,平,開,1,獨洪
45,鍾,職容,ciong1,1.03鍾,章,c,齒音,正齒近舌上,全清,發聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
46,龍,力鍾,liong5,1.03鍾,來,l,半舌音,半舌,次濁,收聲,鍾開3舒聲,iong,通,鍾,鍾,平,開,3,獨細
