識別號,韻母識別號,廣韻韻母,雅俗通韻母,舒促聲,韻母拼音碼,韻母國際音標,林進三拚音碼
1,1,諄合3舒聲,君,舒聲,un,un,un
2,2,諄合3促聲,君,促聲,ut,ut̚,ut
3,1,文合3舒聲,君,舒聲,un,un,un
4,2,文合3促聲,君,促聲,ut,ut̚,ut
5,1,魂合3舒聲,君,舒聲,un,un,un
6,2,魂合3促聲,君,促聲,ut,ut̚,ut
7,1,痕開1舒聲,君,舒聲,un,un,irn
8,2,痕開1促聲,君,促聲,ut,ut̚,irt
9,3,元開3舒聲,堅,舒聲,ian,ian,ian
10,4,元開3促聲,堅,促聲,iat,iat̚,iat
11,3,先開4舒聲,堅,舒聲,ian,ian,ian
12,4,先開4促聲,堅,促聲,iat,iat̚,iat
13,3,先合2舒聲,堅,舒聲,ian,ian,ian
14,4,先合2促聲,堅,促聲,iat,iat̚,iat
15,3,仙開3舒聲,堅,舒聲,ian,ian,ian
16,4,仙開3促聲,堅,促聲,iat,iat̚,iat
17,5,侵開3舒聲,金,舒聲,im,im,im
18,6,侵開3促聲,金,促聲,ip,ip̚,ip
19,7,支合3舒聲,規,舒聲,ui,ui,ui
20,7,脂合3舒聲,規,舒聲,ui,ui,ui
21,7,微合3舒聲,規,舒聲,ui,ui,ui
22,11,寒開1舒聲,干,舒聲,an,an,an
23,12,寒開1促聲,干,促聲,at,at̚,at
24,11,刪開2舒聲,干,舒聲,an,an,an
25,12,刪開2促聲,干,促聲,at,at̚,at
26,11,山開2舒聲,干,舒聲,an,an,an
27,12,山開2促聲,干,促聲,at,at̚,at
28,13,東開1舒聲,公,舒聲,ong,ɔŋ,ong
29,14,東開1促聲,公,促聲,ok,ɔk̚,ok
30,13,冬開1舒聲,公,舒聲,ong,ɔŋ,ong
31,14,冬開1促聲,公,促聲,ok,ɔk̚,ok
32,13,陽合3舒聲,公,舒聲,ong,ɔŋ,ong
33,14,陽合3促聲,公,促聲,ok,ɔk̚,ok
34,13,唐開1舒聲,公,舒聲,ong,ɔŋ,ong
35,14,唐開1促聲,公,促聲,ok,ɔk̚,ok
36,13,庚合2舒聲,公,舒聲,ong,ɔŋ,ong
37,14,庚合2促聲,公,促聲,ok,ɔk̚,ok
38,13,耕合2舒聲,公,舒聲,ong,ɔŋ,ong
39,14,耕合2促聲,公,促聲,ok,ɔk̚,ok
40,13,登合1舒聲,公,舒聲,ong,ɔŋ,ong
41,14,登合1促聲,公,促聲,ok,ɔk̚,ok
42,15,佳合2舒聲,乖,舒聲,uai,uai,uai
43,15,皆合2舒聲,乖,舒聲,uai,uai,uai
44,15,夬合2舒聲,乖,舒聲,uai,uai,uai
45,17,庚開2舒聲,經,舒聲,ing,ɪŋ,irng
46,18,庚開2促聲,經,促聲,ik,ik̚,irk
47,17,庚開3舒聲,經,舒聲,ing,ɪŋ,ieng
48,18,庚開3促聲,經,促聲,ik,ik̚,ierk
49,17,庚合3舒聲,經,舒聲,ing,ɪŋ,ieng
50,18,庚合3促聲,經,促聲,ik,ik̚,ierk
51,17,耕開2舒聲,經,舒聲,ing,ɪŋ,irng
52,18,耕開2促聲,經,促聲,ik,ik̚,irk
53,17,清開3舒聲,經,舒聲,ing,ɪŋ,ieng
54,18,清開3促聲,經,促聲,ik,ik̚,ierk
55,17,清合3舒聲,經,舒聲,ing,ɪŋ,ieng
56,18,清合3促聲,經,促聲,ik,ik̚,ierk
57,17,青開4舒聲,經,舒聲,ing,ɪŋ,ieng
58,18,青開4促聲,經,促聲,ik,ik̚,ierk
59,17,青合3舒聲,經,舒聲,ing,ɪŋ,ieng
60,18,青合3促聲,經,促聲,ik,ik̚,ierk
61,17,蒸開3舒聲,經,舒聲,ing,ɪŋ,ieng
62,18,蒸開3促聲,經,促聲,ik,ik̚,ierk
63,17,登開1舒聲,經,舒聲,ing,ɪŋ,irng
64,18,登開1促聲,經,促聲,ik,ik̚,irk
65,19,元合3舒聲,觀,舒聲,uan,uan,uan
66,20,元合3促聲,觀,促聲,uat,uat̚,uat
67,19,桓合1舒聲,觀,舒聲,uan,uan,uan
68,20,桓合1促聲,觀,促聲,uat,uat̚,uat
69,19,刪合2舒聲,觀,舒聲,uan,uan,uan
70,20,刪合2促聲,觀,促聲,uat,uat̚,uat
71,19,山合2舒聲,觀,舒聲,uan,uan,uan
72,20,山合2促聲,觀,促聲,uat,uat̚,uat
73,19,仙合3舒聲,觀,舒聲,uan,uan,uan
74,20,仙合3促聲,觀,促聲,uat,uat̚,uat
75,19,凡合3舒聲,觀,舒聲,uan,uan,uan
76,20,凡合3促聲,觀,促聲,uat,uat̚,uat
77,21,模開1舒聲,沽,舒聲,oo,ou,oo
78,23,蕭開4舒聲,嬌,舒聲,iau,iau,iau
79,23,宵開3舒聲,嬌,舒聲,iau,iau,iau
80,27,東開3舒聲,恭,舒聲,iong,iɔŋ,iong
81,28,東開3促聲,恭,促聲,iok,iɔk̚,iok
82,27,鍾開3舒聲,恭,舒聲,iong,iɔŋ,iong
83,28,鍾開3促聲,恭,促聲,iok,iɔk̚,iok
84,27,陽開3舒聲,恭,舒聲,iong,iɔŋ,iong
85,28,陽開3促聲,恭,促聲,iok,iɔk̚,iok
86,29,豪開1舒聲,高,舒聲,o,o,o
87,29,歌開1舒聲,高,舒聲,o,o,o
88,29,戈合1舒聲,高,舒聲,o,o,o
89,31,泰開1舒聲,皆,舒聲,ai,ai,ai
90,31,佳開2舒聲,皆,舒聲,ai,ai,ai
91,31,皆開2舒聲,皆,舒聲,ai,ai,ai
92,31,夬開2舒聲,皆,舒聲,ai,ai,ai
93,31,咍開1舒聲,皆,舒聲,ai,ai,ai
94,33,眞開3舒聲,巾,舒聲,in,in,in
