識別號,廣韻韻母,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母
1,諄合3舒聲,un,un,un,un,un,ㄨㄣ,君
2,諄合3促聲,ut,ut̚,ut,ut,ut,ㄨㆵ,君
3,文合3舒聲,un,un,un,un,un,ㄨㄣ,君
4,文合3促聲,ut,ut̚,ut,ut,ut,ㄨㆵ,君
5,魂合3舒聲,un,un,un,un,un,ㄨㄣ,君
6,魂合3促聲,ut,ut̚,ut,ut,ut,ㄨㆵ,君
7,痕開1舒聲,un,un,un,un,un,ㄨㄣ,君
8,痕開1促聲,ut,ut̚,ut,ut,ut,ㄨㆵ,君
9,元開3舒聲,ian,ian,ian,ian,ian,ㄧㄢ,堅
10,元開3促聲,iat,iat̚,iat,iat,iat,ㄧㄚㆵ,堅
11,先開4舒聲,ian,ian,ian,ian,ian,ㄧㄢ,堅
12,先開4促聲,iat,iat̚,iat,iat,iat,ㄧㄚㆵ,堅
13,先合2舒聲,ian,ian,ian,ian,ian,ㄧㄢ,堅
14,先合2促聲,iat,iat̚,iat,iat,iat,ㄧㄚㆵ,堅
15,仙開3舒聲,ian,ian,ian,ian,ian,ㄧㄢ,堅
16,仙開3促聲,iat,iat̚,iat,iat,iat,ㄧㄚㆵ,堅
17,侵開3舒聲,im,im,im,im,im,ㄧㆬ,金
18,侵開3促聲,ip,ip̚,ip,ip,ip,ㄧㆴ,金
19,支合3舒聲,ui,ui,ui,ui,ui,ㄨㄧ,規
20,脂合3舒聲,ui,ui,ui,ui,ui,ㄨㄧ,規
21,微合3舒聲,ui,ui,ui,ui,ui,ㄨㄧ,規
22,寒開1舒聲,an,an,an,an,an,ㄢ,干
23,寒開1促聲,at,at̚,at,at,ap,ㄚㆵ,干
24,刪開2舒聲,an,an,an,an,an,ㄢ,干
25,刪開2促聲,at,at̚,at,at,ap,ㄚㆵ,干
26,山開2舒聲,an,an,an,an,an,ㄢ,干
27,山開2促聲,at,at̚,at,at,ap,ㄚㆵ,干
28,東開1舒聲,ong,ɔŋ,ong,ong,ong,ㆲ,公
29,東開1促聲,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公
30,冬開1舒聲,ong,ɔŋ,ong,ong,ong,ㆲ,公
31,冬開1促聲,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公
32,陽合3舒聲,ong,ɔŋ,ong,ong,ong,ㆲ,公
33,陽合3促聲,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公
34,唐開1舒聲,ong,ɔŋ,ong,ong,ong,ㆲ,公
35,唐開1促聲,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公
36,庚合2舒聲,ong,ɔŋ,ong,ong,ong,ㆲ,公
37,庚合2促聲,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公
38,耕合2舒聲,ong,ɔŋ,ong,ong,ong,ㆲ,公
39,耕合2促聲,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公
40,登合1舒聲,ong,ɔŋ,ong,ong,ong,ㆲ,公
41,登合1促聲,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公
42,佳合2舒聲,uai,uai,oai,uai,uai,ㄨㄞ,乖
43,皆合2舒聲,uai,uai,oai,uai,uai,ㄨㄞ,乖
44,夬合2舒聲,uai,uai,oai,uai,uai,ㄨㄞ,乖
45,庚開2舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
46,庚開2促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
47,庚開3舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
48,庚開3促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
49,庚合3舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
50,庚合3促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
51,耕開2舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
52,耕開2促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
53,清開3舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
54,清開3促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
55,清合3舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
56,清合3促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
57,青開4舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
58,青開4促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
59,青合3舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
60,青合3促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
61,蒸開3舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
62,蒸開3促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
63,登開1舒聲,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經
64,登開1促聲,ik,ik̚,ek,ik,ik,ㄧㆻ,經
65,元合3舒聲,uan,uan,oan,uan,uan,ㄨㄢ,觀
66,元合3促聲,uat,uat̚,oat,uat,uat,ㄨㄚㆵ,觀
67,桓合1舒聲,uan,uan,oan,uan,uan,ㄨㄢ,觀
68,桓合1促聲,uat,uat̚,oat,uat,uat,ㄨㄚㆵ,觀
69,刪合2舒聲,uan,uan,oan,uan,uan,ㄨㄢ,觀
70,刪合2促聲,uat,uat̚,oat,uat,uat,ㄨㄚㆵ,觀
