漢字識別號,字,字義,小韻識別號,小韻字,小韻切語,小韻標音,小韻目次,廣韻聲母,聲母碼,七聲類,發音部位,清濁,發送收,廣韻韻母,韻母碼,攝,韻系,韻目,調,呼,等,等呼
1,東,春方也≆說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
2,菄,東風菜義見上注俗加艹,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
3,鶇,鶇鵍鳥名美形出廣雅亦作𪂝,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
4,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
5,𠍀,儱倲儜劣皃出字諟,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
6,倲,上同,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
7,𩜍,地理志云東郡館名,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
8,𢘐,古文見道經,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
9,涷,瀧涷沾漬≆說文曰水出發鳩山入於河又都貢切,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
10,蝀,螮蝀虹也又音董,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
11,凍,凍凌又都貢切,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
12,鯟,魚名似鯉,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
13,𢔅,行皃,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
14,崠,崠如山名,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
15,埬,上埬地名,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
16,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
17,䰤,醜皃,1,東,德紅,tong1,1.01東,端,t,舌音,舌頭音,全清,發聲,東開1舒聲,ong,通,東,東,平,開,1,獨洪
18,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
19,仝,古文出道書,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
20,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
21,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
22,銅,金之一品,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
23,桐,木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
24,峒,崆峒山名,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
25,硐,磨也,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
26,𦨴,𦨴舩,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
27,𧱁,獸似豕出泰山,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
28,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
29,瞳,目瞳,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
30,㼧,㼧瓦,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
31,𤭁,上同,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
32,罿,車上網又音衝,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
33,犝,犝牛無角,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
34,筩,竹筩,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
35,潼,水名出廣漢郡亦關名又通衝二音,2,同,徒紅,tong5,1.01東,定,t,舌音,舌頭音,全濁,,東開1舒聲,ong,通,東,東,平,開,1,獨洪
