識別號,字,小韻切語,拼音,字義,上字表識別號,聲母,清濁,聲母拼音碼,小韻識別號,小韻字序,韻母,韻母拼音碼,調,四聲八調,拼音調號,備註
1,東,德紅,tong1,春方也≆說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,5,端,全清,t,1,1,東一,ong,平,清平,1,
2,菄,德紅,tong1,東風菜義見上注俗加艹,5,端,全清,t,1,2,東一,ong,平,清平,1,
3,鶇,德紅,tong1,鶇鵍鳥名美形出廣雅亦作𪂝,5,端,全清,t,1,3,東一,ong,平,清平,1,
4,䍶,德紅,tong1,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,5,端,全清,t,1,4,東一,ong,平,清平,1,
5,𠍀,德紅,tong1,儱倲儜劣皃出字諟,5,端,全清,t,1,5,東一,ong,平,清平,1,
6,倲,德紅,tong1,上同,5,端,全清,t,1,6,東一,ong,平,清平,1,
7,𩜍,德紅,tong1,地理志云東郡館名,5,端,全清,t,1,7,東一,ong,平,清平,1,
8,𢘐,德紅,tong1,古文見道經,5,端,全清,t,1,8,東一,ong,平,清平,1,
9,涷,德紅,tong1,瀧涷沾漬≆說文曰水出發鳩山入於河又都貢切,5,端,全清,t,1,9,東一,ong,平,清平,1,
10,蝀,德紅,tong1,螮蝀虹也又音董,5,端,全清,t,1,10,東一,ong,平,清平,1,
11,凍,德紅,tong1,凍凌又都貢切,5,端,全清,t,1,11,東一,ong,平,清平,1,
12,鯟,德紅,tong1,魚名似鯉,5,端,全清,t,1,12,東一,ong,平,清平,1,
13,𢔅,德紅,tong1,行皃,5,端,全清,t,1,13,東一,ong,平,清平,1,
14,崠,德紅,tong1,崠如山名,5,端,全清,t,1,14,東一,ong,平,清平,1,
15,埬,德紅,tong1,上埬地名,5,端,全清,t,1,15,東一,ong,平,清平,1,
16,𧓕,德紅,tong1,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,5,端,全清,t,1,16,東一,ong,平,清平,1,
17,䰤,德紅,tong1,醜皃,5,端,全清,t,1,17,東一,ong,平,清平,1,
18,同,徒紅,tong5,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,7,定,全濁,t,2,1,東一,ong,平,濁平,5,
19,仝,徒紅,tong5,古文出道書,7,定,全濁,t,2,2,東一,ong,平,濁平,5,
20,童,徒紅,tong5,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,7,定,全濁,t,2,3,東一,ong,平,濁平,5,
21,僮,徒紅,tong5,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,7,定,全濁,t,2,4,東一,ong,平,濁平,5,
22,銅,徒紅,tong5,金之一品,7,定,全濁,t,2,5,東一,ong,平,濁平,5,
23,桐,徒紅,tong5,木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷,7,定,全濁,t,2,6,東一,ong,平,濁平,5,
24,峒,徒紅,tong5,崆峒山名,7,定,全濁,t,2,7,東一,ong,平,濁平,5,
25,硐,徒紅,tong5,磨也,7,定,全濁,t,2,8,東一,ong,平,濁平,5,
26,𦨴,徒紅,tong5,𦨴舩,7,定,全濁,t,2,9,東一,ong,平,濁平,5,
27,𧱁,徒紅,tong5,獸似豕出泰山,7,定,全濁,t,2,10,東一,ong,平,濁平,5,
28,筒,徒紅,tong5,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,7,定,全濁,t,2,11,東一,ong,平,濁平,5,
29,瞳,徒紅,tong5,目瞳,7,定,全濁,t,2,12,東一,ong,平,濁平,5,
30,㼧,徒紅,tong5,㼧瓦,7,定,全濁,t,2,13,東一,ong,平,濁平,5,
31,𤭁,徒紅,tong5,上同,7,定,全濁,t,2,14,東一,ong,平,濁平,5,
32,罿,徒紅,tong5,車上網又音衝,7,定,全濁,t,2,15,東一,ong,平,濁平,5,
33,犝,徒紅,tong5,犝牛無角,7,定,全濁,t,2,16,東一,ong,平,濁平,5,
34,筩,徒紅,tong5,竹筩,7,定,全濁,t,2,17,東一,ong,平,濁平,5,
35,潼,徒紅,tong5,水名出廣漢郡亦關名又通衝二音,7,定,全濁,t,2,18,東一,ong,平,濁平,5,
36,曈,徒紅,tong5,曈曨日欲明也又他孔切,7,定,全濁,t,2,19,東一,ong,平,濁平,5,
37,洞,徒紅,tong5,洪洞縣名在晉州北又徒弄切,7,定,全濁,t,2,20,東一,ong,平,濁平,5,
38,侗,徒紅,tong5,楊子法言云倥侗顓蒙,7,定,全濁,t,2,21,東一,ong,平,濁平,5,
39,橦,徒紅,tong5,木名花可爲布出字書又鍾幢二音,7,定,全濁,t,2,22,東一,ong,平,濁平,5,
40,烔,徒紅,tong5,熱氣烔烔出字林,7,定,全濁,t,2,23,東一,ong,平,濁平,5,
41,䴀,徒紅,tong5,鸏䴀水鳥黃喙喙長尺餘南人以爲酒器出劉欽期交州記,7,定,全濁,t,2,24,東一,ong,平,濁平,5,
42,挏,徒紅,tong5,引也漢官名有挏馬又音動,7,定,全濁,t,2,25,東一,ong,平,濁平,5,
43,酮,徒紅,tong5,馬酪又音動,7,定,全濁,t,2,26,東一,ong,平,濁平,5,
