識別號,韻母碼,韻母國際音標,白話字韻母,閩拼韻母,台羅韻母,方音韻母,十五音韻母,舒促聲,十五音序
1,un,un,un,un,un,ㄨㄣ,君,舒聲,1
2,ut,ut̚,ut,ut,ut,ㄨㆵ,君,促聲,1
3,ian,ian,ian,ian,ian,ㄧㄢ,堅,舒聲,2
4,iat,iat̚,iat,iat,iat,ㄧㄚㆵ,堅,促聲,2
5,im,im,im,im,im,ㄧㆬ,金,舒聲,3
6,ip,ip̚,ip,ip,ip,ㄧㆴ,金,促聲,3
7,ui,ui,ui,ui,ui,ㄨㄧ,規,舒聲,4
8,uih,ui?,uih,uih,uih,ㄨㄧㆷ,規,促聲,4
9,ee,ɛ,ee,e,ee,ㄝ,嘉,舒聲,5
10,eeh,ɛ?,eeh,eh,eh,ㄝㆷ,嘉,促聲,5
11,an,an,an,an,an,ㄢ,干,舒聲,6
12,at,at̚,at,at,ap,ㄚㆵ,干,促聲,6
13,ong,ɔŋ,ong,ong,ong,ㆲ,公,舒聲,7
14,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公,促聲,7
15,uai,uai,oai,uai,uai,ㄨㄞ,乖,舒聲,8
16,uaih,uai?,oaih,uaih,uaih,ㄨㄞㆷ,乖,促聲,8
17,ing,ɪŋ,eng,ing,ing,ㄧㄥ,經,舒聲,9
18,ik,ik̚,ek,ik,ik,ㄧㆻ,經,促聲,9
19,uan,uan,oan,uan,uan,ㄨㄢ,觀,舒聲,10
20,uat,uat̚,oat,uat,uat,ㄨㄚㆵ,觀,促聲,10
21,oo,ou,o͘,oo,oo,ㆦ,沽,舒聲,11
22,ooh,ou?,o͘h,ooh,ooh,ㆦㆷ,沽,促聲,11
23,iau,iau,iau,iao,iau,ㄧㄠ,嬌,舒聲,12
24,iauh,iau?,iauh,iaoh,iauh,ㄧㄠㆷ,嬌,促聲,12
25,ei,ei,ei,e,ei,ㄟ,稽,舒聲,13
26,eih,ei?,eih,eh,eih,ㄟㆷ,稽,促聲,13
27,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭,舒聲,14
28,iok,iɔk̚,iok,iok,iok,ㄧㆦㆻ,恭,促聲,14
29,o,o,o,o,o,ㄜ,高,舒聲,15
30,oh,o?,oh,oh,oh,ㄜㆷ,高,促聲,15
31,ai,ai,ai,ai,ai,ㄞ,皆,舒聲,16
32,aih,ai?,aih,aih,aih,ㄞㆷ,皆,促聲,16
33,in,in,in,in,in,ㄧㄣ,巾,舒聲,17
34,it,it̚,it,it,it,ㄧㆵ,巾,促聲,17
35,iang,iaŋ,iang,iang,iang,ㄧㄤ,姜,舒聲,18
36,iak,iak̚,iak,iak,iak,ㄧㄚㆻ,姜,促聲,18
37,am,am,am,am,am,ㆰ,甘,舒聲,19
38,ap,ap̚,ap,ap,ap,ㄚㆴ,甘,促聲,19
39,ua,ua,oa,ua,ua,ㄨㄚ,瓜,舒聲,20
40,uah,ua?,oah,uah,uah,ㄨㄚㆷ,瓜,促聲,20
41,ang,aŋ,ang,ang,ang,ㄤ,江,舒聲,21
42,ak,ak̚,ak,ak,ak,ㄚㆻ,江,促聲,21
43,iam,iam,iam,iam,iam,ㄧㆰ,兼,舒聲,22
44,iap,iap̚,iap,iap,iap,ㄧㄚㆴ,兼,促聲,22
45,au,au,au,ao,au,ㄠ,交,舒聲,23
46,auh,au?,auh,aoh,auh,ㄠㆷ,交,促聲,23
47,ia,ia,ia,ia,ia,ㄧㄚ,迦,舒聲,24
48,iah,ia?,iah,iah,iah,ㄧㄚㆷ,迦,促聲,24
49,ue,ue,oe,ue,ue,ㄨㆤ,檜,舒聲,25
50,ueh,ue?,oeh,ueh,ueh,ㄨㆤㆷ,檜,促聲,25
51,ann,ã,aⁿ,na,ann,ㆩ,監,舒聲,26
52,annh,ã?,ahⁿ,nah,annh,ㆩㆷ,監,促聲,26
53,u,u,u,u,u,ㄨ,艍,舒聲,27
54,uh,u?,uh,uh,uh,ㄨㆷ,艍,促聲,27
55,a,a,a,a,a,ㄚ,膠,舒聲,28
56,ah,a?,ah,ah,ah,ㄚㆷ,膠,促聲,28
57,i,i,i,i,i,ㄧ,居,舒聲,29
58,ih,i?,ih,ih,ih,ㄧㆷ,居,促聲,29
59,iu,iu,iu,iu,iu,ㄧㄨ,丩,舒聲,30
60,iuh,iu?,iuh,iuh,iuh,ㄧㄨㆷ,丩,促聲,30
61,enn,ɛ̃,eⁿ,ne,enn,ㆥ,更,舒聲,31
62,ennh,ɛ̃?,ehⁿ,neh,ennh,ㆥㆷ,更,促聲,31
63,uinn,uĩ,uiⁿ,nui,uinn,ㄨㆪ,褌,舒聲,32
64,uinnh,uĩ?,uihⁿ,nuih,uinnh,ㄨㆪㆷ,褌,促聲,32
65,io,io,io,io,io,ㄧㄜ,茄,舒聲,33
66,ioh,io?,ioh,ioh,ioh,ㄧㄜㆷ,茄,促聲,33
67,inn,ĩ,iⁿ,ni,inn,ㆪ,梔,舒聲,34
68,innh,ĩ?,iⁿh,nih,innh,ㆪ,梔,促聲,34
69,ionn,iɔ̃,ioⁿ,nioo,ionn,ㄧㆧ,薑,舒聲,35
70,ionnh,iɔ̃?,iohⁿ,niooh,ionnh,ㄧㆧㆷ,薑,促聲,35
71,iann,iã,iaⁿ,nia,iann,ㄧㆩ,驚,舒聲,36
72,iannh,iã?,iahⁿ,niah,iannh,ㄧㆩㆷ,驚,促聲,36
73,uann,uã,oaⁿ,nua,uann,ㄨㆩ,官,舒聲,37
74,uannh,uã?,oahⁿ,nuah,uannh,ㄨㆩㆷ,官,促聲,37
75,ng,ŋ,ng,ng,ng,ㆭ,鋼,舒聲,38
76,ngh,ŋ?,ngh,ngh,ngh,ㆭㆷ,鋼,促聲,38
77,e,e,e,e,e,ㆤ,伽,舒聲,39
78,eh,e?,eh,eh,eh,ㆤㆷ,伽,促聲,39
79,ainn,aĩ,aiⁿ,nai,ainn,ㆮ,閒,舒聲,40
80,ainnh,aĩ?,aihⁿ,naih,ainnh,ㆮㆷ,閒,促聲,40
81,oonn,õu,oⁿ,noo,onn,ㆧ,姑,舒聲,41
82,oonnh,õu?,ohⁿ,nooh,onnh,ㆧㆷ,姑,促聲,41
83,m,m,m,m,m,ㆬ,姆,舒聲,42
84,mh,mh,mh,mh,mh,ㆬㆷ,姆,促聲,42
85,uang,uaŋ,oang,uang,uang,ㄨㄤ,光,舒聲,43
86,uak,uak̚,oak,uak,uak,ㄨㄚㆻ,光,促聲,43
87,uainn,uãi,oaiⁿ,nuai,uainn,ㄨㆮ,閂,舒聲,44
88,uainnh,uãi?,oaiⁿh,nuaih,uainnh,ㄨㆮㆷ,閂,促聲,44
