識別號,切語,拼音,小韻字,目次編碼,小韻字序號,小韻字集,字數,上字表識別號,聲母,聲母拼音碼,發音部位,清濁,發送收,下字表識別號,韻母,韻母拼音碼,調,調號,備註,原有備註,異體字,其它備註
1,德紅,tong1,東,1.01東,1,東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤,22,5,端,t,舌頭音,全清,發聲,1,東開1,ong,平,1,,,,
2,徒紅,tong5,同,1.01東,2,同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨚯𨝯𪔝𩦶𪒿,58,7,定,t,舌頭音,全濁,,1,東開1,ong,平,5,,,,
3,陟弓,tiong1,中,1.01東,3,中衷忠𦬕,5,9,知,t,舌上音,全清,發聲,5,東開3,iong,平,1,,,,
4,直弓,tiong5,蟲,1.01東,4,蟲沖种盅爞𦬕翀,8,11,澄,t,舌上音,全濁,,5,東開3,iong,平,5,,,,
5,職戎,ciong1,終,1.01東,5,終衆潨𣧩螽𧑄鼨蔠柊𩅧䶱鴤䈺泈䝦,18,30,照,c,正齒近舌上,全清,發聲,5,東開3,iong,平,1,,,[衆/眾],
6,敕中,thiong1,忡,1.01東,6,忡浺盅,3,10,徹,th,舌上音,次清,送氣,5,東開3,iong,平,1,,,,
7,鋤弓,ciong5,崇,1.01東,7,崇崈㓽𩞉,5,28,床,c,正齒近齒頭,全濁,,5,東開3,iong,平,5,,,,
8,息弓,siong1,嵩,1.01東,8,嵩崧𪀚娀菘硹㣝𧊕𨱿,12,24,心,s,齒頭音,全清,送氣,5,東開3,iong,平,1,,,,
9,如融,jiong5,戎,1.01東,9,戎𢦦茙㭜駥𥬪𠈋狨絨,12,41,日,j,半齒,次濁,收聲,5,東開3,iong,平,5,,,,
10,居戎,kiong1,弓,1.01東,10,弓躳躬㴦宮匑,6,1,見,k,牙音,全清,發聲,5,東開3,iong,平,1,,,,
11,以戎,Øiong5,融,1.01東,11,融肜瀜,3,39,喻,Ø,喉音,次濁,發聲,5,東開3,iong,平,5,,,,
12,羽弓,Øiong5,雄,1.01東,12,雄熊,2,38,為,Ø,喉音,次濁,發聲,5,東開3,iong,平,5,,,,
13,莫中,miong5,瞢,1.01東,13,瞢夢𨞯懜𦫰𧲎,9,16,明,m,重脣音,次濁,收聲,5,東開3,iong,平,5,,,,
14,去宮,khiong1,穹,1.01東,14,穹𢞏焪芎𦵡匑𥳎,10,2,溪,kh,牙音,次清,送氣,5,東開3,iong,平,1,,,,
15,渠弓,khiong5,窮,1.01東,15,窮藭𥨪,4,3,群,kh,牙音,全濁,,5,東開3,iong,平,5,,,,
16,房戎,hiong5,馮,1.01東,16,馮堸汎芃𨝭渢梵,8,19,奉,h,輕脣音,全濁,,5,東開3,iong,平,5,,,,
17,方戎,hiong1,風,1.01東,17,風飌楓猦偑檒𧆉,8,17,非,h,輕脣音,全清,發聲,5,東開3,iong,平,1,,,瘋,
