識別號,聲母識別號,廣韻聲母,雅俗通聲母,聲母拼音碼,聲母國際音標,,,,,,,,,
1,1,泥,柳,l,l,,,,,,,,,
2,1,娘,柳,l,l,,,,,,,,,
3,1,來,柳,l,l,,,,,,,,,
4,2,幫,邊,p,p,,,,,,,,,
5,2,並,邊,p,p,,,,,,,,,
6,3,見,求,k,k,,,,,,,,,
7,3,群,求,k,k,,,,,,,,,
8,4,溪,去,kh,kʰ,,,,,,,,,
9,5,端,地,t,t,,,,,,,,,
10,5,定,地,t,t,,,,,,,,,
11,5,知,地,t,t,,,,,,,,,
12,5,澄,地,t,t,,,,,,,,,
13,6,滂,頗,ph,pʰ,,,,,,,,,
14,7,透,他,th,tʰ,,,,,,,,,
15,7,徹,他,th,tʰ,,,,,,,,,
16,8,精,曾,c,ʦ,,,,,,,,,
17,8,從,曾,c,ʦ,,,,,,,,,
18,8,莊,曾,c,ʦ,,,,,,,,,
19,8,章,曾,c,ʦ,,,,,,,,,
20,8,崇,曾,c,ʦ,,,,,,,,,
21,8,俟,曾,c,ʦ,,,,,,,,,
22,9,日,入,j,ʣ,,,,,,,,,
23,10,心,時,s,s,,,,,,,,,
24,10,邪,時,s,s,,,,,,,,,
25,10,生,時,s,s,,,,,,,,,
26,10,書,時,s,s,,,,,,,,,
27,10,禪,時,s,s,,,,,,,,,
28,10,船,時,s,s,,,,,,,,,
29,11,影,英,Ø,,,,,,,,,,
30,11,以,英,Ø,,,,,,,,,,
31,11,云,英,Ø,,,,,,,,,,
32,12,明,門,b,b,,,,,,,,,
33,12,微,門,b,b,,,,,,,,,
34,13,疑,語,g,ɡ,,,,,,,,,
35,14,清,出,ch,ʦʰ,,,,,,,,,
36,14,初,出,ch,ʦʰ,,,,,,,,,
37,14,昌,出,ch,ʦʰ,,,,,,,,,
38,15,非,喜,h,h,,,,,,,,,
39,15,敷,喜,h,h,,,,,,,,,
40,15,奉,喜,h,h,,,,,,,,,
41,15,曉,喜,h,h,,,,,,,,,
42,15,匣,喜,h,h,,,,,,,,,
