識別號,韻碼,韻母,擬音,等呼,韻目行列碼,目次編碼,列號,行號,韻目,舒促聲,攝,調,韻,等,呼
1,東一開舒聲,東一,ong,獨洪,A01,1.01東 ,1,1,東,舒聲,通,平,東,一,開
2,東三開舒聲,東三,iong,獨細,A01,1.01東 ,1,1,東,舒聲,通,平,東,三,開
3,東一開促聲,屋一,ok,獨洪,D01,5.01屋 ,1,4,東,促聲,通,入,東,一,開
4,東三開促聲,屋三,iok,獨細,D01,5.01屋 ,1,4,東,促聲,通,入,東,三,開
5,冬一開舒聲,冬,ong,獨洪,A02,1.02冬 ,2,1,冬,舒聲,通,平,冬,一,開
6,冬一開促聲,沃,ok,獨洪,D02,5.02沃 ,2,4,冬,促聲,通,入,冬,一,開
7,鍾三開舒聲,鍾,iong,獨細,A03,1.03鍾 ,3,1,鍾,舒聲,通,平,鍾,三,開
8,鍾三開促聲,燭,iok,獨細,D03,5.03燭 ,3,4,鍾,促聲,通,入,鍾,三,開
9,江二開舒聲,江,ang,獨洪,A04,1.04江 ,4,1,江,舒聲,江,平,江,二,開
10,江二開促聲,覺,ak,獨洪,D04,5.04覺 ,4,4,江,促聲,江,入,江,二,開
11,支三開舒聲,支開,i,開細,A05,1.05支,5,1,支,舒聲,止,平,支,三,開
12,支三合舒聲,支合,ui,合細,A05,1.05支 ,5,1,支,舒聲,止,平,支,三,合
13,支A三開舒聲,支開,i,開細,A05,1.05支A ,5,1,支,舒聲,止,平,支A,三,開
14,支A三合舒聲,支合,ui,合細,A05,1.05支A ,5,1,支,舒聲,止,平,支A,三,合
15,支B三合舒聲,支合,ui,合細,A06,1.05支B ,6,1,支,舒聲,止,平,支B,三,合
16,支B三開舒聲,支開,i,開細,A06,1.05支B ,6,1,支,舒聲,止,平,支B,三,開
17,脂三開舒聲,脂開,i,開細,A07,1.06脂,7,1,脂,舒聲,止,平,脂,三,開
18,脂三合舒聲,脂合,ui,合細,A07,1.06脂,7,1,脂,舒聲,止,平,脂,三,合
19,脂A三開舒聲,脂開,i,開細,A07,1.06脂A ,7,1,脂,舒聲,止,平,脂A,三,開
20,脂A三合舒聲,脂合,ui,合細,A07,1.06脂A ,7,1,脂,舒聲,止,平,脂A,三,合
21,脂B三開舒聲,脂開,i,開細,A08,1.06脂B ,8,1,脂,舒聲,止,平,脂B,三,開
22,脂B三合舒聲,脂合,ui,合細,A08,1.06脂B ,8,1,脂,舒聲,止,平,脂B,三,合
23,之三開舒聲,之,i,獨細,A09,1.07之 ,9,1,之,舒聲,止,平,之,三,開
24,微三開舒聲,微開,i,開細,A10,1.08微 ,10,1,微,舒聲,止,平,微,三,開
25,微三合舒聲,微合,ui,合細,A10,1.08微 ,10,1,微,舒聲,止,平,微,三,合
26,魚三開舒聲,魚,u,獨細,A11,1.09魚 ,11,1,魚,舒聲,遇,平,魚,三,開
27,虞三合舒聲,虞,u,獨細,A12,1.10虞 ,12,1,虞,舒聲,遇,平,虞,三,合
28,模一開舒聲,模,oo,獨洪,A13,1.11模 ,13,1,模,舒聲,遇,平,模,一,開
29,齊四開舒聲,齊開,e,開細,A14,1.12齊 ,14,1,齊,舒聲,蟹,平,齊,四,開
30,齊四合舒聲,齊合,ue,合細,A14,1.12齊 ,14,1,齊,舒聲,蟹,平,齊,四,合
31,祭三開舒聲,祭開,e,開細,C15,4.13祭,15,4,祭,舒聲,蟹,去,祭,三,開
32,祭三合舒聲,祭合,ue,合細,C15,4.13祭,15,4,祭,舒聲,蟹,去,祭,三,合
33,祭A三開舒聲,祭開,e,開細,C15,4.13祭A ,15,4,祭,舒聲,蟹,去,祭A,三,開
34,祭A三合舒聲,祭合,ue,合細,C15,4.13祭A ,15,4,祭,舒聲,蟹,去,祭A,三,合
35,祭B三開舒聲,祭開,ue,合細,C16,4.13祭B ,16,4,祭,舒聲,蟹,去,祭B,三,開
36,祭B三合舒聲,祭合,ue,合細,C16,4.13祭B ,16,4,祭,舒聲,蟹,去,祭B,三,合
37,泰一開舒聲,泰開,ai,開細,C17,4.14泰 ,17,4,泰,舒聲,蟹,去,泰,一,開
38,泰一合舒聲,泰合,ua,合細,C17,4.14泰 ,17,4,泰,舒聲,蟹,去,泰,一,合
39,佳二開舒聲,佳開,ai,開洪,A18,1.13佳 ,18,1,佳,舒聲,蟹,平,佳,二,開
40,佳二合舒聲,佳合,ua,合洪,A18,1.13佳 ,18,1,佳,舒聲,蟹,平,佳,二,合
41,皆二開舒聲,皆開,ai,開洪,A19,1.14皆 ,19,1,皆,舒聲,蟹,平,皆,二,開
42,皆二合舒聲,皆合,uai,合洪,A19,1.14皆 ,19,1,皆,舒聲,蟹,平,皆,二,合
43,夬二開舒聲,夬開,ai,開洪,C20,1.17夬,20,3,夬,舒聲,蟹,去,夬,二,開
44,夬二合舒聲,夬合,uai,合洪,C20,1.17夬,20,3,夬,舒聲,蟹,去,夬,二,合
45,灰一合舒聲,灰,ue,合洪,A21,1.15灰 ,21,1,灰,舒聲,蟹,平,灰,一,合
46,咍一開舒聲,咍,ai,開洪,A22,1.16咍 ,22,1,咍,舒聲,蟹,平,咍,一,開
47,廢三開舒聲,廢開,ue,合細,C23,4.20廢 ,23,3,廢,舒聲,蟹,去,廢,三,開
48,廢三合舒聲,廢合,ue,合細,C23,4.20廢 ,23,3,廢,舒聲,蟹,去,廢,三,合
49,眞三開舒聲,眞開,in,開細,A24,1.17眞,24,1,眞,舒聲,臻,平,眞,三,開
