識別號,廣韻聲母識別號,七聲類,發音部位,聲母,清濁,發送收,聲母拼音碼,切語上字集,備註,
1,4,脣音,重脣音,幫,全清,發聲,p,邊布補伯百北博愽巴卑并鄙必彼兵筆陂畀晡,,
2,13,脣音,重脣音,滂,次清,送氣,ph,滂普匹譬披丕,,
3,5,脣音,重脣音,並,全濁,,p,蒲步裴薄白傍部平皮便毗弼婢簿捕,,
4,32,脣音,重脣音,明,次濁,收聲,b,莫慕模謨摸母明彌眉綿靡美矛,,
5,38,脣音,輕脣音,非,全清,發聲,h,方封分府甫,f,
6,39,脣音,輕脣音,敷,次清,送氣,h,敷孚妃撫芳峰峯拂,f,
7,40,脣音,輕脣音,奉,全濁,,h,房防縛附符苻扶馮浮父,f,
8,33,脣音,輕脣音,微,次濁,收聲,b,巫無亡武文望,,
9,9,舌音,舌頭音,端,全清,發聲,t,多德得丁都當冬,,
10,14,舌音,舌頭音,透,次清,送氣,th,他託土吐通天台湯,,
11,10,舌音,舌頭音,定,全濁,,t,徒同特度杜唐堂田陀地,,
12,1,舌音,舌頭音,泥,次濁,收聲,l,奴乃諾內内嬭妳那,孃,
13,11,舌音,舌上音,知,全清,發聲,t,知張豬猪徵中追陟卓竹珍,,
14,15,舌音,舌上音,徹,次清,送氣,th,抽癡楮褚禇丑恥敕,,
15,12,舌音,舌上音,澄,全濁,,t,除場池治持遲遟佇柱丈直宅墜馳,,
16,2,舌音,舌上音,娘,次濁,收聲,l,尼拏女穠匿,,
17,6,牙音,牙音,見,全清,發聲,k,居曁九俱舉規吉紀几古公過各格兼姑佳詭乖,,
18,8,牙音,牙音,溪,次清,送氣,kh,康枯牽空謙口楷客恪苦去丘墟袪詰窺羌欽傾起綺豈區驅曲可乞棄卿弃,,
19,7,牙音,牙音,群,全濁,,k,渠強求巨具臼衢其奇暨跪近狂,,
20,34,牙音,牙音,疑,次濁,收聲,g,疑魚牛語宜擬危五玉俄吾研遇虞愚,,
21,16,齒音,齒頭音,精,全清,發聲,c,將子資即則借茲兹𩛠醉姊遵祖臧作,,
22,35,齒音,齒頭音,清,次清,送氣,ch,倉蒼親遷取七青采醋麁麤千此雌,,
23,17,齒音,齒頭音,從,全濁,,c,才徂在前藏昨酢疾秦匠慈自情漸,,
24,23,齒音,齒頭音,心,全清,送氣,s,蘇素速桑相悉思司斯私雖辛息須胥先寫,,
25,24,齒音,齒頭音,邪,全濁,送氣,s,徐祥詳辭辞辝似旬寺夕隨,,
26,18,齒音,正齒近齒頭,莊,全清,發聲,c,莊爭阻鄒簪側仄,,
27,19,齒音,正齒近舌上,章,全清,發聲,c,之止章征諸煮煑支職正旨占脂蒸,,
28,36,齒音,正齒近齒頭,初,次清,送氣,ch,初楚創瘡測叉廁厠芻,,
29,37,齒音,正齒近舌上,昌,次清,送氣,ch,昌尺赤充處叱春姝,,
30,20,齒音,正齒近齒頭,崇,全濁,,c,雛鶵犲査查崇助鉏崱士仕鋤,,
31,21,齒音,正齒近舌上,俟,全濁,送氣,c,俟床牀,,
32,25,齒音,正齒近齒頭,生,全清,送氣,s,踈山沙砂生色數所史䟽疏,,
33,26,齒音,正齒近舌上,書,全清,送氣,s,書舒傷商施失矢試式識賞詩釋始,,
34,27,齒音,正齒近齒頭,禪,全濁,送氣,s,時殊嘗甞常蜀市植殖寔署臣是氏視成承十,,
35,28,齒音,正齒近舌上,船,全濁,送氣,s,神乗食實,,
36,29,喉音,喉音,影,全清,發聲,Ø,於央憶伊衣依憂一乙握謁紆挹烏哀安烟鷖愛委,,
37,41,喉音,喉音,曉,次清,送氣,h,呼荒虎馨火海呵香朽羲休況况許興喜虛虚花,,
38,42,喉音,喉音,匣,全濁,送氣,h,胡乎侯戶戸下黃何獲懷,,
39,30,喉音,喉音,以,次濁,發聲,Ø,余餘予夷以羊弋翼與營移悅,,
40,31,喉音,喉音,云,次濁,發聲,Ø,于羽雨雲云王韋永有薳為爲洧筠榮,,
41,3,半舌音,半舌,來,次濁,收聲,l,來盧賴洛落勒力林呂吕良離里郎魯練縷連,,
42,22,半齒音,半齒,日,次濁,收聲,j,如汝儒人而仍兒耳,,
