識別號,廣韻韻母,雅俗通韻母,舒促聲,韻母拼音碼,韻母國際音標,韻母識別號,林進三拚音碼,,
1,諄合3舒聲,君,舒聲,un,un,1,un,,
2,諄合3促聲,君,促聲,ut,ut̚,2,ut,,
3,文合3舒聲,君,舒聲,un,un,1,un,,
4,文合3促聲,君,促聲,ut,ut̚,2,ut,,
5,魂合3舒聲,君,舒聲,un,un,1,un,,
6,魂合3促聲,君,促聲,ut,ut̚,2,ut,,
7,痕開1舒聲,君,舒聲,un,un,1,irn,,
8,痕開1促聲,君,促聲,ut,ut̚,2,irt,,
9,元開3舒聲,堅,舒聲,ian,ian,3,ian,,
10,元開3促聲,堅,促聲,iat,iat̚,4,iat,,
11,先開4舒聲,堅,舒聲,ian,ian,3,ian,,
12,先開4促聲,堅,促聲,iat,iat̚,4,iat,,
13,先合2舒聲,堅,舒聲,ian,ian,3,ian,,
14,先合2促聲,堅,促聲,iat,iat̚,4,iat,,
15,仙開3舒聲,堅,舒聲,ian,ian,3,ian,,
16,仙開3促聲,堅,促聲,iat,iat̚,4,iat,,
17,侵開3舒聲,金,舒聲,im,im,5,im,,
18,侵開3促聲,金,促聲,ip,ip̚,6,ip,,
19,支合3舒聲,規,舒聲,ui,ui,7,ui,,
20,脂合3舒聲,規,舒聲,ui,ui,7,ui,,
21,微合3舒聲,規,舒聲,ui,ui,7,ui,,
22,寒開1舒聲,干,舒聲,an,an,11,an,,
23,寒開1促聲,干,促聲,at,at̚,12,at,,
24,刪開2舒聲,干,舒聲,an,an,11,an,,
25,刪開2促聲,干,促聲,at,at̚,12,at,,
26,山開2舒聲,干,舒聲,an,an,11,an,,
27,山開2促聲,干,促聲,at,at̚,12,at,,
28,東開1舒聲,公,舒聲,ong,ɔŋ,13,ong,,
29,東開1促聲,公,促聲,ok,ɔk̚,14,ok,,
30,冬開1舒聲,公,舒聲,ong,ɔŋ,13,ong,,
31,冬開1促聲,公,促聲,ok,ɔk̚,14,ok,,
32,陽合3舒聲,公,舒聲,ong,ɔŋ,13,ong,,
33,陽合3促聲,公,促聲,ok,ɔk̚,14,ok,,
34,唐開1舒聲,公,舒聲,ong,ɔŋ,13,ong,,
35,唐開1促聲,公,促聲,ok,ɔk̚,14,ok,,
36,庚合2舒聲,公,舒聲,ong,ɔŋ,13,ong,,
37,庚合2促聲,公,促聲,ok,ɔk̚,14,ok,,
38,耕合2舒聲,公,舒聲,ong,ɔŋ,13,ong,,
39,耕合2促聲,公,促聲,ok,ɔk̚,14,ok,,
40,登合1舒聲,公,舒聲,ong,ɔŋ,13,ong,,
41,登合1促聲,公,促聲,ok,ɔk̚,14,ok,,
42,佳合2舒聲,乖,舒聲,uai,uai,15,uai,,
43,皆合2舒聲,乖,舒聲,uai,uai,15,uai,,
44,夬合2舒聲,乖,舒聲,uai,uai,15,uai,,
45,庚開2舒聲,經,舒聲,ing,ɪŋ,17,irng,,
46,庚開2促聲,經,促聲,ik,ik̚,18,irk,,
47,庚開3舒聲,經,舒聲,ing,ɪŋ,17,ieng,,
48,庚開3促聲,經,促聲,ik,ik̚,18,ierk,,
49,庚合3舒聲,經,舒聲,ing,ɪŋ,17,ieng,,
50,庚合3促聲,經,促聲,ik,ik̚,18,ierk,,
51,耕開2舒聲,經,舒聲,ing,ɪŋ,17,irng,,
52,耕開2促聲,經,促聲,ik,ik̚,18,irk,,
53,清開3舒聲,經,舒聲,ing,ɪŋ,17,ieng,,
54,清開3促聲,經,促聲,ik,ik̚,18,ierk,,
55,清合3舒聲,經,舒聲,ing,ɪŋ,17,ieng,,
56,清合3促聲,經,促聲,ik,ik̚,18,ierk,,
57,青開4舒聲,經,舒聲,ing,ɪŋ,17,ieng,,
58,青開4促聲,經,促聲,ik,ik̚,18,ierk,,
59,青合3舒聲,經,舒聲,ing,ɪŋ,17,ieng,,
60,青合3促聲,經,促聲,ik,ik̚,18,ierk,,
61,蒸開3舒聲,經,舒聲,ing,ɪŋ,17,ieng,,
62,蒸開3促聲,經,促聲,ik,ik̚,18,ierk,,
63,登開1舒聲,經,舒聲,ing,ɪŋ,17,irng,,
64,登開1促聲,經,促聲,ik,ik̚,18,irk,,
65,元合3舒聲,觀,舒聲,uan,uan,19,uan,,
66,元合3促聲,觀,促聲,uat,uat̚,20,uat,,
67,桓合1舒聲,觀,舒聲,uan,uan,19,uan,,
68,桓合1促聲,觀,促聲,uat,uat̚,20,uat,,
69,刪合2舒聲,觀,舒聲,uan,uan,19,uan,,
70,刪合2促聲,觀,促聲,uat,uat̚,20,uat,,
71,山合2舒聲,觀,舒聲,uan,uan,19,uan,,
72,山合2促聲,觀,促聲,uat,uat̚,20,uat,,
73,仙合3舒聲,觀,舒聲,uan,uan,19,uan,,
74,仙合3促聲,觀,促聲,uat,uat̚,20,uat,,
75,凡合3舒聲,觀,舒聲,uan,uan,19,uan,,
76,凡合3促聲,觀,促聲,uat,uat̚,20,uat,,
77,模開1舒聲,沽,舒聲,oo,ou,21,oo,,
78,蕭開4舒聲,嬌,舒聲,iau,iau,23,iau,,
79,宵開3舒聲,嬌,舒聲,iau,iau,23,iau,,
80,東開3舒聲,恭,舒聲,iong,iɔŋ,27,iong,,
81,東開3促聲,恭,促聲,iok,iɔk̚,28,iok,,
82,鍾開3舒聲,恭,舒聲,iong,iɔŋ,27,iong,,
83,鍾開3促聲,恭,促聲,iok,iɔk̚,28,iok,,
84,陽開3舒聲,恭,舒聲,iong,iɔŋ,27,iong,,
85,陽開3促聲,恭,促聲,iok,iɔk̚,28,iok,,
86,豪開1舒聲,高,舒聲,o,o,29,o,,
87,歌開1舒聲,高,舒聲,o,o,29,o,,
88,戈合1舒聲,高,舒聲,o,o,29,o,,
89,泰開1舒聲,皆,舒聲,ai,ai,31,ai,,
90,佳開2舒聲,皆,舒聲,ai,ai,31,ai,,
91,皆開2舒聲,皆,舒聲,ai,ai,31,ai,,
92,夬開2舒聲,皆,舒聲,ai,ai,31,ai,,
93,咍開1舒聲,皆,舒聲,ai,ai,31,ai,,
94,眞開3舒聲,巾,舒聲,in,in,33,in,,
95,眞開3促聲,巾,促聲,it,it̚,34,it,,
96,臻開2舒聲,巾,舒聲,in,in,33,en,,
97,臻開2促聲,巾,促聲,it,it̚,34,et,,
98,欣開3舒聲,巾,舒聲,in,in,33,in,,
99,欣開3促聲,巾,促聲,it,it̚,34,it,,
100,覃開1舒聲,甘,舒聲,am,am,37,am,,
101,覃開1促聲,甘,促聲,ap,ap̚,38,ap,,
102,談開1舒聲,甘,舒聲,am,am,37,am,,
103,談開1促聲,甘,促聲,ap,ap̚,38,ap,,
104,咸開2舒聲,甘,舒聲,am,am,37,am,,
105,咸開2促聲,甘,促聲,ap,ap̚,38,ap,,
106,銜開2舒聲,甘,舒聲,am,am,37,am,,
107,銜開2促聲,甘,促聲,ap,ap̚,38,ap,,
108,泰合1舒聲,瓜,舒聲,ua,ua,39,ua,,
109,佳合2舒聲,瓜,舒聲,ua,ua,39,ua,,
110,麻合2舒聲,瓜,舒聲,ua,ua,39,ua,,
111,江開2舒聲,江,舒聲,ang,aŋ,41,ang,,
112,江開2促聲,江,促聲,ak,ak̚,42,ak,,
113,鹽開4舒聲,兼,舒聲,iam,iam,43,iam,,
114,鹽開4促聲,兼,促聲,iap,iap̚,44,iap,,
115,添開3舒聲,兼,舒聲,iam,iam,43,iam,,
116,添開3促聲,兼,促聲,iap,iap̚,44,iap,,
117,嚴開3舒聲,兼,舒聲,iam,iam,43,iam,,
118,嚴開3促聲,兼,促聲,iap,iap̚,44,iap,,
119,肴開2舒聲,交,舒聲,au,au,45,au,,
120,戈開3舒聲,迦,舒聲,ia,ia,47,ia,,
121,戈合3舒聲,迦,舒聲,ia,ia,47,ia,,
122,麻開3舒聲,迦,舒聲,ia,ia,47,ia,,
123,齊合4舒聲,檜,舒聲,ue,ue,49,ue,,
124,祭合3舒聲,檜,舒聲,ue,ue,49,ue,,
125,灰合1舒聲,檜,舒聲,ue,ue,49,ue,,
126,咍開1舒聲,檜,舒聲,ue,ue,49,ue,,
127,廢合1舒聲,檜,舒聲,ue,ue,49,ue,,
128,虞開3舒聲,艍,舒聲,u,u,53,u,,
129,麻開2舒聲,膠,舒聲,a,a,55,a,,
130,支開3舒聲,居,舒聲,i,i,57,i,,
131,脂開3舒聲,居,舒聲,i,i,57,i,,
132,之開3舒聲,居,舒聲,i,i,57,i,,
133,微開3舒聲,居,舒聲,i,i,57,i,,
