shn,Tshiat_Gu,n,Han_Ji,Ji_Gi_Kai_Sik,note1,note2,Tshiat_Gu2,unknown
1,德紅,1,東,春方也≆說文曰動也从日在木中亦東風菜廣州記云陸地生莖赤和肉作羹味如酪香似蘭吳都賦云莫則東風扶留又姓舜七友有東不訾又漢複姓十三氏左傳魯郷東門襄仲後因氏焉齊有大夫東郭偃又有東宫得臣晉有東關嬖五神仙傳有廣陵人東陵聖母適杜氏齊景公時有隱居東陵者乃以爲氏丗本宋大夫東郷爲[-/人]賈執英賢傳云今高密有東郷姓宋有貟外郎東陽無疑撰齊諧記七卷昔有東閭子甞富貴後乞於道云吾爲相六年未薦一士夏禹之後東樓公封于杞後以爲氏莊子東野稷漢有平原東方朔曹瞞傳有南陽太守東里昆何氏姓苑有東萊氏德紅切十七,說文之說廣韻中多作◫訁兊,,德紅,
1,德紅,2,菄,東風菜義見上注俗加艹,,,德紅,
1,德紅,3,鶇,鶇鵍鳥名美形出廣雅亦作𪂝,,,德紅,
1,德紅,4,䍶,獸名山海經曰秦戲山有獸狀如羊一角一目目在耳後其名曰䍶又音陳音棟,,,德紅,
1,德紅,5,𠍀,儱倲儜劣皃出字諟,,,德紅,
1,德紅,6,倲,上同,,,德紅,
1,德紅,7,𩜍,地理志云東郡館名,,,德紅,
1,德紅,8,𢘐,古文見道經,,,德紅,
1,德紅,9,涷,瀧涷沾漬≆說文曰水出發鳩山入於河又都貢切,,,德紅,
1,德紅,10,蝀,螮蝀虹也又音董,,,德紅,
1,德紅,11,凍,凍凌又都貢切,,,德紅,
1,德紅,12,鯟,魚名似鯉,,,德紅,
1,德紅,13,𢔅,行皃,,,德紅,
1,德紅,14,崠,崠如山名,,,德紅,
1,德紅,15,埬,上埬地名,,,德紅,
1,德紅,16,𧓕,蛞𧓕科斗蟲也案爾雅曰科斗活東郭璞云蝦蟆子也字俗從䖵,,,德紅,
1,德紅,17,䰤,醜皃,,,德紅,
2,徒紅,1,同,齊也共也輩也合也律歷有六同亦州春秋時晉夷吾獻其西河地於秦七國時屬魏秦并天下爲內史之地漢武更名馮翊又有九龍泉泉有九源同爲一流因以名之又羌複姓有同蹄氏望在勃海徒紅切四十五,,,徒紅,
2,徒紅,2,仝,古文出道書,,,徒紅,
2,徒紅,3,童,童獨也言童子未有室家也又姓出東莞漢有琅邪內史童仲玉,,,徒紅,
2,徒紅,4,僮,僮僕又頑也癡也又姓漢有交阯刺史僮尹出風俗通,,,徒紅,
2,徒紅,5,銅,金之一品,,,徒紅,
2,徒紅,6,桐,木名月令曰淸明之日桐始華又桐廬縣在睦州亦姓有桐君藥録兩卷,,,徒紅,
2,徒紅,7,峒,崆峒山名,,,徒紅,
2,徒紅,8,硐,磨也,,,徒紅,
2,徒紅,9,𦨴,𦨴舩,,,徒紅,
2,徒紅,10,𧱁,獸似豕出泰山,,,徒紅,
2,徒紅,11,筒,竹筒又竹名射筒吳都賦曰其竹則桂箭射筒,,,徒紅,
2,徒紅,12,瞳,目瞳,,,徒紅,
2,徒紅,13,㼧,㼧瓦,,,徒紅,
