sjep,dienq,phuan,kau,hvang,liio,zjew,note,id,xu,tonk,hey,code,civk,sjeporder
通,uŋ,uŋ,uŋ,uŋ,uŋ,uŋ,,86,開,1,東,c1a,0,1
通,ɨuŋ,iuŋ,i̯uŋ,ĭuŋ,iuŋ,iuŋ,,87,開,3,東,c4a,0,1
通,uk,uk,uk,uk,uk,uk,,88,開,1,東,c1a,1,1
通,ɨuk,iuk,i̯uk,ĭuk,iuk,iuk,,89,開,3,東,c4a,1,1
通,uoŋ,uoŋ,uoŋ,uoŋ,oŋ,oŋ,,90,開,1,冬,c1b,0,1
通,uok,uok,uok,uok,ok,ok,,91,開,1,冬,c1b,1,1
通,ɨoŋ,ioŋ,i̯woŋ,ĭwoŋ,ioŋ,ioŋ,,92,開,3,鍾,c4b,0,1
通,ɨok,iok,i̯wok,ĭwok,iok,iok,,93,開,3,鍾,c4b,1,1
江,ɣʌŋ,ɯɔŋ,ɔŋ,ɔŋ,ɔŋ,ɔŋ,,84,開,2,江,c2c,0,2
江,ɣʌk,ɯɔk,ɔk,ɔk,ɔk,ɔk,,85,開,2,江,c2c,1,2
止,iᴇ,iɛ,(j)ie̯,ǐe,ie,jɛ,,7,開,3,支A,c5d,0,3
止,iuᴇ,ʷiɛ,(j)wie̯,ǐwe,iue,juɛ,,8,合,3,支A,o5d,0,3
止,ɣiᴇ,ɯiɛ,——,ǐe,je,iɛ,,9,開,3,支B,c6d,0,3
止,ɣiuᴇ,ʷɯiɛ,——,ǐwe,jue,iuɛ,,10,合,3,支B,o6d,0,3
止,iɪ,i,(j)i,i,i,jɪ,,11,開,3,脂A,c5e,0,3
止,iuɪ,ʷi,(j)wi,wi,ui,juɪ,,12,合,3,脂A,o5e,0,3
止,ɣiɪ,ɯi,——,i,ji,iɪ,,13,開,3,脂B,c6e,0,3
止,ɣiuɪ,ʷɯi,——,wi,jui,iuɪ,,14,合,3,脂B,o6e,0,3
止,ɨ,ɨ,(j)i,ĭə,iə,ie,,15,開,3,之,c4e,0,3
止,ɨi,ɨi,(j)e̯i,ĭəi,iəi,iəi,,16,開,3,微,c3e,0,3
止,ʉi,ʷɨi,(j)we̯i,ĭwəi,iuəi,iuəi,,17,合,3,微,o3e,0,3
遇,ɨʌ,iɔ,i̯wo,ĭo,iɔ,iɔ,,18,開,3,魚,c4f,0,4
遇,uo,uo,uo,u,o,o,,19,開,1,模,c1g,0,4
遇,ɨo,io,i̯u,ĭu,io,io,,20,合,3,虞,o4g,0,4
蟹,ɑi,ɑi,ɑi,ɑi,ɑi,ɑi,,29,開,1,泰,c1h,0,5
蟹,uɑi,ʷɑi,uɑi,uɑi,uɑi,uɑi,,30,合,1,泰,o1h,0,5
