序,類,聲母,台羅,擬音,清濁,切語上字
1,脣音,幫,p,p,全清,方 府 博 彼 甫 邊 布 必 北 卑 伯 筆 巴 并 補 陂 分 兵 晡 畀 封 鄙 百
2,脣音,滂,ph,pʰ,次清,方 敷 匹 芳 普 撫 孚 滂 披 妃 丕 峯 譬 拂
3,脣音,並,b,b,全濁,房 薄 符 防 部 步 扶 附 蒲 縛 皮 白 便 浮 裴 傍 毗 平 捕 馮 婢 父 弼
4,脣音,明,m,m,次濁,莫 靡 武 無 彌 母 亡 文 綿 眉 模 謨 明 摸 巫 美 望 矛 慕
5,舌頭音,端,t,t,全清,德 都 丁 當 多 得 冬
6,舌頭音,透,th,tʰ,次清,他 土 吐 託 天 湯 通 台
7,舌頭音,定,d,d,全濁,徒 同 杜 度 墜 特 堂 唐 田 陀
8,舌頭音,泥,n,n,次濁,奴 乃 諾 那 内
9,舌上音,知,t,ȶ,全清,陟 都 竹 丁 卓 張 中 知 豬 珍 追 猪 徵
10,舌上音,徹,th,ȶʰ,次清,敕 他 丑 褚 楮 癡 抽 恥
11,舌上音,澄,t,ȡ,全濁,徒 直 宅 柱 池 丈 持 除 治 馳 遟 佇 場
12,舌上音,孃,l,n,次濁,奴 女 乃 妳 諾 尼 拏 穠
13,齒頭音,精,ts,ts,全清,子 作 即 姊 遵 醉 則 祖 臧 將 借 兹 𩛠 資 姉
14,齒頭音,清,tsh,tsʰ,次清,倉 七 此 取 蒼 醋 千 雌 采 親 麁 靑 麤 遷
15,齒頭音,從,ts,dz,全濁,徂 藏 疾 昨 匠 在 才 自 慈 秦 漸 情 前
16,齒頭音,心,s,s,全清,息 蘇 私 相 素 先 思 須 寫 桑 速 斯 胥 悉 雖 司 辛
17,齒頭音,邪,s,z,全濁,祥 旬 似 詳 夕 徐 隨 辝 辭 寺
18,正齒音莊組,莊,ts,tʃ,全清,子 側 莊 阻 仄 爭 鄒 簪
19,正齒音莊組,初,tsh,tʃʰ,次清,楚 叉 測 初 創 瘡 芻 廁
20,正齒音莊組,崇,ts,dʒ,全濁,鋤 士 仕 崇 鉏 助 牀 鶵 雛 犲 崱 查 査
21,正齒音莊組,生,s,ʃ,全清,所 山 疏 數 色 史 踈 砂 沙 生
22,正齒音莊組,俟,s,ʒ,全濁,俟 牀
23,正齒音章組,章,ts,tʃ,全清,職 章 旨 止 諸 正 煑 之 占 支 脂 征
24,正齒音章組,昌,tsh,tʃʰ,次清,昌 尺 叱 處 叉 赤 充 姝
25,正齒音章組,常,ts,dʒ,全濁,蜀 是 視 市 署 成 植 常 氏 時 承 臣 殖 甞 寔 殊 十
26,正齒音章組,書,s,ʃ,全清,書 式 傷 失 識 施 詩 舒 賞 矢 釋 商 試 始
27,正齒音章組,船,s,ʒ,全濁,食 神 實 乗
28,牙音,見,k,k,全清,居 古 九 舉 公 過 俱 佳 乖 姑 各 兼 詭 規 几 吉 紀 格
29,牙音,溪,kh,kʰ,次清,去 苦 曲 丘 豈 口 可 起 乞 客 綺 恪 康 墟 袪 羌 驅 弃 空 牽 枯 欽 謙 區 窺 卿 詰 傾 楷
30,牙音,羣,k,ɡ,全濁,渠 巨 強 其 跪 求 曁 狂 奇 具 臼 衢
31,牙音,疑,ng/g,ŋ,次濁,五 魚 牛 語 遇 擬 愚 俄 虞 疑 研 宜 危 吾 玉
32,喉音,曉,h,x,全清,呼 許 香 喜 朽 況 荒 火 虚 虎 興 花 休 况 馨 海 羲 呵
33,喉音,匣,h,ɣ,全清,戸 下 胡 獲 侯 懷 何 乎 黃
34,喉音,影,Ø,,全清,烏 於 握 央 憶 哀 乙 謁 一 委 挹 安 紆 烟 衣 依 鷖 伊 憂 愛
35,喉音,云,Ø,ɣ,次濁,羽 下 薳 洧 雨 爲 王 有 于 永 韋 榮 云 雲 筠
36,喉音,以,Ø,j,次濁,以 餘 弋 悅 與 羊 翼 于 余 移 夷 營
37,半舌音,來,l,l,次濁,力 盧 吕 里 落 郎 賴 魯 縷 勒 良 來 洛 連 練 離 林
38,半齒音,日,j,ȵʑ,次濁,如 而 汝 人 儒 耳 兒 仍
