序,攝,韻,調,等,呼,韻母,台羅,擬音,切語下字
1,通,東,平,一,開,東一,ong,[-uŋ],紅 公 東 動 孔 董 揔 蠓 弄 貢 送 凍
2,通,東,平,三,開,東三,iong,[-ĭuŋ],弓 戎 中 融 宮 空 終 貢 衆 鳳 仲
3,通,冬,平,一,開,冬,ong,[-uoŋ],宗 冬 𪁪 湩 統 宋 綜
4,通,鍾,平,三,開,鍾,iong,[-ĭwoŋ],容 鍾 封 凶 庸 恭 隴 踵 奉 宂 悚 拱 勇 冢 頌 用
5,江,江,平,二,開,江,ang,[-ɔŋ],雙 江 項 講 慃 巷 絳 降
6,通,東,入,一,開,屋一,ok,[-uk],谷 禄 木 卜
7,通,東,入,三,開,屋三,iok,[-ĭuk],六 竹 匊 宿 福 逐 菊
8,通,冬,入,一,開,沃,ok,[-uok],酷 沃 毒 篤
9,通,鍾,入,三,開,燭,iok,[-ĭwok],欲 玉 蜀 録 足 曲
10,江,江,入,二,開,覺,ak,[-ɔk],岳 角 覺
11,止,支,平,三,開,支開,i,[-ĭe],移 支 宜 知 離 氏 紙 綺 爾 是 此 帋 豸 侈 義 智 寄 賜 豉
12,止,支,平,三,合,支合,ui,[-ĭwe],支 爲 垂 危 吹 委 累 婢 捶 髓 睡 僞 瑞 恚
13,止,支A,平,三,開,支A開,i,[-ĭe],移 支 弭 婢 俾 帋 義 智 賜 企
14,止,支A,平,三,合,支A合,ui,[-ĭwe],規 隨 隋 弭 瑞 避 恚
15,止,支B,平,三,開,支B開,i,[-ĭe],爲 羈 奇 宜 離 彼 委 綺 倚 靡 義 寄
16,止,支B,平,三,合,支B合,ui,[-ĭwe],爲 委 詭 毀 睡 僞
17,止,脂,平,三,開,脂開,i,[-i],夷 脂 飢 私 資 尼 之 雉 矢 姊 履 几 視 利 至 二 四 自
18,止,脂,平,三,合,脂合,ui,[-wi],隹 追 遺 悲 綏 累 美 軌 水 誄 壘 愧 醉 遂 類 萃
19,止,脂A,平,三,開,脂A開,i,[-i],夷 脂 履 利 至 寐 二
20,止,脂A,平,三,合,脂A合,ui,[-wi],隹 維 癸 誄 季 悸
21,止,脂B,平,三,開,脂B開,i,[-i],夷 脂 悲 眉 肌 鄙 美 履 几 利 祕 媚 備 器 冀 兾
