識別號,漢字,切音,字韻,聲調,原資料拼音,舒促聲,聲,韻,調,拼音碼,雅俗通標音,十五音標音,常用度
1,縮,柳,君,上平,lun1,舒聲,l,un,1,lun1,君上平聲柳,君一柳,
2,𪑖,邊,君,上平,pun1,舒聲,p,un,1,pun1,君上平聲邊,君一邊,0.01
3,𪒰,邊,君,上平,pun1,舒聲,p,un,1,pun1,君上平聲邊,君一邊,
4,君,求,君,上平,kun1,舒聲,k,un,1,kun1,君上平聲求,君一求,
5,褌,求,君,上平,kun1,舒聲,k,un,1,kun1,君上平聲求,君一求,0.01
6,裩,求,君,上平,kun1,舒聲,k,un,1,kun1,君上平聲求,君一求,
7,軍,求,君,上平,kun1,舒聲,k,un,1,kun1,君上平聲求,君一求,
8,坤,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
9,昆,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
10,崑,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
11,蜫,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
12,鯤,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
13,髡,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
14,鵾,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
15,囷,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
16,菌,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
17,麕,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
18,峮,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
19,琨,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
20,焜,去,君,上平,khun1,舒聲,kh,un,1,khun1,君上平聲去,君一去,
21,敦,地,君,上平,tun1,舒聲,t,un,1,tun1,君上平聲地,君一地,
22,墩,地,君,上平,tun1,舒聲,t,un,1,tun1,君上平聲地,君一地,
23,憞,地,君,上平,tun1,舒聲,t,un,1,tun1,君上平聲地,君一地,
24,𡼖,地,君,上平,tun1,舒聲,t,un,1,tun1,君上平聲地,君一地,
25,迍,地,君,上平,tun1,舒聲,t,un,1,tun1,君上平聲地,君一地,
