識別號,韻母碼,國際音標,白話字,台羅,閩拼,方音,十五音,十五音序,舒促聲,十五音識別碼
1,un,un,un,un,un,ㄨㄣ,君,1,舒聲,君舒
2,ut,ut̚,ut,ut,ut,ㄨㆵ,君,1,促聲,君促
3,ian,ian,ian,ian,ian,ㄧㄢ,堅,2,舒聲,堅舒
4,iat,iat̚,iat,iat,iat,ㄧㄚㆵ,堅,2,促聲,堅促
5,im,im,im,im,im,ㄧㆬ,金,3,舒聲,金舒
6,ip,ip̚,ip,ip,ip,一ㆴ,金,3,促聲,金促
7,ui,ui,ui,ui,ui,ㄨㄧ,規,4,舒聲,規舒
8,ee,ɛ,e,ee,e,ㄝ,嘉,5,舒聲,嘉舒
9,eeh,ɛ?,eeh,eeh,,ㄝㆷ,嘉,5,促聲,嘉促
10,an,an,an,an,an,ㄢ,干,6,舒聲,干舒
11,at,at̚,at,at,at,ㄚㆵ,干,6,促聲,干促
12,ong,ɔŋ,ong,ong,ong,ㆲ,公,7,舒聲,公舒
13,ok,ɔk̚,ok,ok,ok,ㆦㆻ,公,7,促聲,公促
14,uai,uai,oai,uai,uai,ㄨㄞ,乖,8,舒聲,乖舒
15,uaih,uai?,oaih,uaih,uaih,ㄨㄞㆷ,乖,8,促聲,乖促
16,ing,iŋ,eng,ing,ing,ㄧㄥ,經,9,舒聲,經舒
17,ik,ik̚,ek,ik,ik,ㄧㆻ,經,9,促聲,經促
18,uan,uan,oan,uan,uan,ㄨㄢ,觀,10,舒聲,觀舒
19,uat,uat̚,oat,uat,uat,ㄨㄚㆵ,觀,10,促聲,觀促
20,oo,ɔu,o͘,oo,oo,ㆦ,沽,11,舒聲,沽舒
21,iau,iau,iau,iau,iao,ㄧㄠ,嬌,12,舒聲,嬌舒
22,iauh,iau?,iauh,iauh,iaoh,ㄧㄠㆷ,嬌,12,促聲,嬌促
23,ei,ei,e,e,e,ㆤ,稽,13,舒聲,稽舒
24,iong,iɔŋ,iong,iong,iong,ㄧㆲ,恭,14,舒聲,恭舒
25,iok,iɔk̚,iok,iok,iok,ㄧㆦㆻ,恭,14,促聲,恭促
26,o,ə,o,o,o,ㄜ,高,15,舒聲,高舒
27,oh,ə?,oh,oh,oh,ㄜㆷ,高,15,促聲,高促
28,ai,ai,ai,ai,ai,ㄞ,皆,16,舒聲,皆舒
29,in,in,in,in,in,ㄧㄣ,巾,17,舒聲,巾舒
30,it,it̚,it,it,it,ㄧㆵ,巾,17,促聲,巾促
31,iang,iaŋ,iang,iang,iang,ㄧㄤ,姜,18,舒聲,姜舒
32,iak,iak̚,iak,iak,iak,ㄧㄚㆻ,姜,18,促聲,姜促
33,am,am,am,am,am,ㆰ,甘,19,舒聲,甘舒
34,ap,ap̚,ap,ap,ap,ㄚㆴ,甘,19,促聲,甘促
35,ua,ua,oa,ua,ua,ㄨㄚ,瓜,20,舒聲,瓜舒
36,uah,ua?,oah,uah,uah,ㄨㄚㆷ,瓜,20,促聲,瓜促
37,ang,aŋ,ang,ang,ang,ㄤ,江,21,舒聲,江舒
38,ak,ak̚,ak,ak,ak,ㄚㆻ,江,21,促聲,江促
39,iam,iam,iam,iam,iam,ㄧㆰ,兼,22,舒聲,兼舒
40,iap,iap̚,iap,iap,iap,ㄧㄚㆴ,兼,22,促聲,兼促
41,au,au,au,au,ao,ㄠ,交,23,舒聲,交舒
